Driver,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,1.0,0 days 00:01:37.284000,4.0,SOFT,1.0,97.284
VER,2.0,0 days 00:01:36.296000,5.0,SOFT,1.0,96.296
VER,3.0,0 days 00:01:36.753000,6.0,SOFT,1.0,96.753
VER,4.0,0 days 00:01:36.647000,7.0,SOFT,1.0,96.647
VER,5.0,0 days 00:01:37.173000,8.0,SOFT,1.0,97.173
VER,6.0,0 days 00:01:37.092000,9.0,SOFT,1.0,97.092
VER,7.0,0 days 00:01:37.038000,10.0,SOFT,1.0,97.038
VER,8.0,0 days 00:01:37.024000,11.0,SOFT,1.0,97.024
VER,9.0,0 days 00:01:37.229000,12.0,SOFT,1.0,97.229
VER,10.0,0 days 00:01:36.960000,13.0,SOFT,1.0,96.96
VER,11.0,0 days 00:01:37.085000,14.0,SOFT,1.0,97.085
VER,12.0,0 days 00:01:37.045000,15.0,SOFT,1.0,97.045
VER,13.0,0 days 00:01:37.030000,16.0,SOFT,1.0,97.03
VER,14.0,0 days 00:01:37.028000,17.0,SOFT,1.0,97.028
VER,15.0,0 days 00:01:37.011000,18.0,SOFT,1.0,97.011
VER,16.0,0 days 00:01:37.168000,19.0,SOFT,1.0,97.168
VER,17.0,0 days 00:01:39.896000,20.0,SOFT,1.0,99.896
VER,19.0,0 days 00:01:35.283000,2.0,HARD,2.0,95.283
VER,20.0,0 days 00:01:35.160000,3.0,HARD,2.0,95.16
VER,21.0,0 days 00:01:35.316000,4.0,HARD,2.0,95.316
VER,22.0,0 days 00:01:35.204000,5.0,HARD,2.0,95.204
VER,23.0,0 days 00:01:35.216000,6.0,HARD,2.0,95.216
VER,24.0,0 days 00:01:35.289000,7.0,HARD,2.0,95.289
VER,25.0,0 days 00:01:35.342000,8.0,HARD,2.0,95.342
VER,26.0,0 days 00:01:35.223000,9.0,HARD,2.0,95.223
VER,27.0,0 days 00:01:35.581000,10.0,HARD,2.0,95.581
VER,28.0,0 days 00:01:35.477000,11.0,HARD,2.0,95.477
VER,29.0,0 days 00:01:35.793000,12.0,HARD,2.0,95.793
VER,30.0,0 days 00:01:35.771000,13.0,HARD,2.0,95.771
VER,31.0,0 days 00:01:35.679000,14.0,HARD,2.0,95.679
VER,32.0,0 days 00:01:35.886000,15.0,HARD,2.0,95.886
VER,33.0,0 days 00:01:35.863000,16.0,HARD,2.0,95.863
VER,34.0,0 days 00:01:36.133000,17.0,HARD,2.0,96.133
VER,35.0,0 days 00:01:36.018000,18.0,HARD,2.0,96.018
VER,36.0,0 days 00:01:36.205000,19.0,HARD,2.0,96.205
VER,37.0,0 days 00:01:39.234000,20.0,HARD,2.0,99.234
VER,39.0,0 days 00:01:32.608000,2.0,SOFT,3.0,92.608
VER,40.0,0 days 00:01:36.589000,3.0,SOFT,3.0,96.589
