Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:32.190000,1.0,MEDIUM,1.0,92.19
VER,Red Bull Racing,2.0,0 days 00:01:30.710000,2.0,MEDIUM,1.0,90.71
VER,Red Bull Racing,3.0,0 days 00:01:30.408000,3.0,MEDIUM,1.0,90.408
VER,Red Bull Racing,4.0,0 days 00:01:30.716000,4.0,MEDIUM,1.0,90.716
VER,Red Bull Racing,5.0,0 days 00:01:30.552000,5.0,MEDIUM,1.0,90.552
VER,Red Bull Racing,6.0,0 days 00:01:30.440000,6.0,MEDIUM,1.0,90.44
VER,Red Bull Racing,7.0,0 days 00:01:30.529000,7.0,MEDIUM,1.0,90.529
VER,Red Bull Racing,8.0,0 days 00:01:30.516000,8.0,MEDIUM,1.0,90.516
VER,Red Bull Racing,9.0,0 days 00:01:30.632000,9.0,MEDIUM,1.0,90.632
VER,Red Bull Racing,10.0,0 days 00:01:30.506000,10.0,MEDIUM,1.0,90.506
VER,Red Bull Racing,11.0,0 days 00:01:30.561000,11.0,MEDIUM,1.0,90.561
VER,Red Bull Racing,12.0,0 days 00:01:30.590000,12.0,MEDIUM,1.0,90.59
VER,Red Bull Racing,13.0,0 days 00:01:30.561000,13.0,MEDIUM,1.0,90.561
VER,Red Bull Racing,14.0,0 days 00:01:30.647000,14.0,MEDIUM,1.0,90.647
VER,Red Bull Racing,15.0,0 days 00:01:30.267000,15.0,MEDIUM,1.0,90.267
VER,Red Bull Racing,16.0,0 days 00:01:32.558000,16.0,MEDIUM,1.0,92.558
VER,Red Bull Racing,18.0,0 days 00:01:29.896000,2.0,HARD,2.0,89.896
VER,Red Bull Racing,19.0,0 days 00:01:29.386000,3.0,HARD,2.0,89.386
VER,Red Bull Racing,20.0,0 days 00:01:29.628000,4.0,HARD,2.0,89.628
VER,Red Bull Racing,21.0,0 days 00:01:29.127000,5.0,HARD,2.0,89.127
VER,Red Bull Racing,22.0,0 days 00:01:29.689000,6.0,HARD,2.0,89.689
VER,Red Bull Racing,23.0,0 days 00:01:29.634000,7.0,HARD,2.0,89.634
VER,Red Bull Racing,24.0,0 days 00:01:29.293000,8.0,HARD,2.0,89.293
VER,Red Bull Racing,25.0,0 days 00:01:29.401000,9.0,HARD,2.0,89.401
VER,Red Bull Racing,26.0,0 days 00:01:29.289000,10.0,HARD,2.0,89.289
VER,Red Bull Racing,27.0,0 days 00:01:29.156000,11.0,HARD,2.0,89.156
VER,Red Bull Racing,28.0,0 days 00:01:29.217000,12.0,HARD,2.0,89.217
VER,Red Bull Racing,29.0,0 days 00:01:29.183000,13.0,HARD,2.0,89.183
VER,Red Bull Racing,30.0,0 days 00:01:29.266000,14.0,HARD,2.0,89.266
VER,Red Bull Racing,31.0,0 days 00:01:29.149000,15.0,HARD,2.0,89.149
VER,Red Bull Racing,32.0,0 days 00:01:29.100000,16.0,HARD,2.0,89.1
VER,Red Bull Racing,33.0,0 days 00:01:29.137000,17.0,HARD,2.0,89.137
VER,Red Bull Racing,34.0,0 days 00:01:29.077000,18.0,HARD,2.0,89.077
VER,Red Bull Racing,35.0,0 days 00:01:29.148000,19.0,HARD,2.0,89.148
VER,Red Bull Racing,36.0,0 days 00:01:28.902000,20.0,HARD,2.0,88.902
VER,Red Bull Racing,37.0,0 days 00:01:28.910000,21.0,HARD,2.0,88.91
VER,Red Bull Racing,38.0,0 days 00:01:29.073000,22.0,HARD,2.0,89.073
VER,Red Bull Racing,39.0,0 days 00:01:28.849000,23.0,HARD,2.0,88.849
VER,Red Bull Racing,40.0,0 days 00:01:29.053000,24.0,HARD,2.0,89.053
VER,Red Bull Racing,41.0,0 days 00:01:29.003000,25.0,HARD,2.0,89.003
VER,Red Bull Racing,42.0,0 days 00:01:29.082000,26.0,HARD,2.0,89.082
VER,Red Bull Racing,43.0,0 days 00:01:31.391000,27.0,HARD,2.0,91.391
VER,Red Bull Racing,45.0,0 days 00:01:26.993000,2.0,HARD,3.0,86.993
VER,Red Bull Racing,46.0,0 days 00:01:27.902000,3.0,HARD,3.0,87.902
VER,Red Bull Racing,47.0,0 days 00:01:27.962000,4.0,HARD,3.0,87.962
VER,Red Bull Racing,48.0,0 days 00:01:27.968000,5.0,HARD,3.0,87.968
VER,Red Bull Racing,49.0,0 days 00:01:27.901000,6.0,HARD,3.0,87.901
VER,Red Bull Racing,50.0,0 days 00:01:28.040000,7.0,HARD,3.0,88.04
VER,Red Bull Racing,51.0,0 days 00:01:27.849000,8.0,HARD,3.0,87.849
VER,Red Bull Racing,52.0,0 days 00:01:27.851000,9.0,HARD,3.0,87.851
VER,Red Bull Racing,53.0,0 days 00:01:27.683000,10.0,HARD,3.0,87.683
VER,Red Bull Racing,54.0,0 days 00:01:27.513000,11.0,HARD,3.0,87.513
VER,Red Bull Racing,55.0,0 days 00:01:27.930000,12.0,HARD,3.0,87.93
VER,Red Bull Racing,56.0,0 days 00:01:27.727000,13.0,HARD,3.0,87.727
VER,Red Bull Racing,57.0,0 days 00:01:27.980000,14.0,HARD,3.0,87.98
VER,Red Bull Racing,58.0,0 days 00:01:28.545000,15.0,HARD,3.0,88.545
LEC,Ferrari,1.0,0 days 00:01:33.119000,1.0,MEDIUM,1.0,93.119
LEC,Ferrari,2.0,0 days 00:01:31.117000,2.0,MEDIUM,1.0,91.117
LEC,Ferrari,3.0,0 days 00:01:30.500000,3.0,MEDIUM,1.0,90.5
LEC,Ferrari,4.0,0 days 00:01:30.884000,4.0,MEDIUM,1.0,90.884
LEC,Ferrari,5.0,0 days 00:01:30.459000,5.0,MEDIUM,1.0,90.459
LEC,Ferrari,6.0,0 days 00:01:30.544000,6.0,MEDIUM,1.0,90.544
LEC,Ferrari,7.0,0 days 00:01:30.373000,7.0,MEDIUM,1.0,90.373
LEC,Ferrari,8.0,0 days 00:01:30.631000,8.0,MEDIUM,1.0,90.631
LEC,Ferrari,9.0,0 days 00:01:30.431000,9.0,MEDIUM,1.0,90.431
LEC,Ferrari,10.0,0 days 00:01:30.609000,10.0,MEDIUM,1.0,90.609
LEC,Ferrari,11.0,0 days 00:01:30.613000,11.0,MEDIUM,1.0,90.613
LEC,Ferrari,12.0,0 days 00:01:30.584000,12.0,MEDIUM,1.0,90.584
LEC,Ferrari,13.0,0 days 00:01:30.817000,13.0,MEDIUM,1.0,90.817
LEC,Ferrari,14.0,0 days 00:01:30.571000,14.0,MEDIUM,1.0,90.571
LEC,Ferrari,15.0,0 days 00:01:30.618000,15.0,MEDIUM,1.0,90.618
LEC,Ferrari,16.0,0 days 00:01:30.711000,16.0,MEDIUM,1.0,90.711
LEC,Ferrari,17.0,0 days 00:01:32.468000,17.0,MEDIUM,1.0,92.468
LEC,Ferrari,19.0,0 days 00:01:29.908000,2.0,HARD,2.0,89.908
LEC,Ferrari,20.0,0 days 00:01:30.073000,3.0,HARD,2.0,90.073
LEC,Ferrari,21.0,0 days 00:01:29.724000,4.0,HARD,2.0,89.724
LEC,Ferrari,22.0,0 days 00:01:29.704000,5.0,HARD,2.0,89.704
LEC,Ferrari,23.0,0 days 00:01:29.847000,6.0,HARD,2.0,89.847
LEC,Ferrari,24.0,0 days 00:01:29.577000,7.0,HARD,2.0,89.577
LEC,Ferrari,25.0,0 days 00:01:29.707000,8.0,HARD,2.0,89.707
LEC,Ferrari,26.0,0 days 00:01:29.655000,9.0,HARD,2.0,89.655
LEC,Ferrari,27.0,0 days 00:01:29.210000,10.0,HARD,2.0,89.21
LEC,Ferrari,28.0,0 days 00:01:29.556000,11.0,HARD,2.0,89.556
LEC,Ferrari,29.0,0 days 00:01:29.556000,12.0,HARD,2.0,89.556
LEC,Ferrari,30.0,0 days 00:01:29.428000,13.0,HARD,2.0,89.428
LEC,Ferrari,31.0,0 days 00:01:29.554000,14.0,HARD,2.0,89.554
LEC,Ferrari,32.0,0 days 00:01:29.815000,15.0,HARD,2.0,89.815
LEC,Ferrari,33.0,0 days 00:01:29.693000,16.0,HARD,2.0,89.693
LEC,Ferrari,34.0,0 days 00:01:29.447000,17.0,HARD,2.0,89.447
LEC,Ferrari,35.0,0 days 00:01:31.443000,18.0,HARD,2.0,91.443
LEC,Ferrari,37.0,0 days 00:01:29.035000,2.0,HARD,3.0,89.035
LEC,Ferrari,38.0,0 days 00:01:28.736000,3.0,HARD,3.0,88.736
LEC,Ferrari,39.0,0 days 00:01:28.759000,4.0,HARD,3.0,88.759
LEC,Ferrari,40.0,0 days 00:01:28.546000,5.0,HARD,3.0,88.546
LEC,Ferrari,41.0,0 days 00:01:28.466000,6.0,HARD,3.0,88.466
LEC,Ferrari,42.0,0 days 00:01:28.277000,7.0,HARD,3.0,88.277
LEC,Ferrari,43.0,0 days 00:01:28.211000,8.0,HARD,3.0,88.211
LEC,Ferrari,44.0,0 days 00:01:28.199000,9.0,HARD,3.0,88.199
LEC,Ferrari,45.0,0 days 00:01:28.395000,10.0,HARD,3.0,88.395
LEC,Ferrari,46.0,0 days 00:01:28.446000,11.0,HARD,3.0,88.446
LEC,Ferrari,47.0,0 days 00:01:28.221000,12.0,HARD,3.0,88.221
LEC,Ferrari,48.0,0 days 00:01:28.419000,13.0,HARD,3.0,88.419
LEC,Ferrari,49.0,0 days 00:01:28.396000,14.0,HARD,3.0,88.396
LEC,Ferrari,50.0,0 days 00:01:28.258000,15.0,HARD,3.0,88.258
LEC,Ferrari,51.0,0 days 00:01:28.695000,16.0,HARD,3.0,88.695
LEC,Ferrari,52.0,0 days 00:01:28.603000,17.0,HARD,3.0,88.603
LEC,Ferrari,53.0,0 days 00:01:28.545000,18.0,HARD,3.0,88.545
LEC,Ferrari,54.0,0 days 00:01:28.778000,19.0,HARD,3.0,88.778
LEC,Ferrari,55.0,0 days 00:01:28.552000,20.0,HARD,3.0,88.552
LEC,Ferrari,56.0,0 days 00:01:28.657000,21.0,HARD,3.0,88.657
LEC,Ferrari,57.0,0 days 00:01:29.031000,22.0,HARD,3.0,89.031
LEC,Ferrari,58.0,0 days 00:01:31.284000,23.0,HARD,3.0,91.284
RUS,Mercedes,1.0,0 days 00:01:34.776000,1.0,MEDIUM,1.0,94.776
RUS,Mercedes,2.0,0 days 00:01:31.598000,2.0,MEDIUM,1.0,91.598
RUS,Mercedes,3.0,0 days 00:01:30.598000,3.0,MEDIUM,1.0,90.598
