Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,4.0,0 days 00:01:23.391000,4.0,MEDIUM,1.0,83.391
VER,Red Bull Racing,5.0,0 days 00:01:23.104000,5.0,MEDIUM,1.0,83.104
VER,Red Bull Racing,6.0,0 days 00:01:22.843000,6.0,MEDIUM,1.0,82.843
VER,Red Bull Racing,10.0,0 days 00:01:27.827000,2.0,HARD,2.0,87.827
VER,Red Bull Racing,11.0,0 days 00:01:23.460000,3.0,HARD,2.0,83.46
VER,Red Bull Racing,12.0,0 days 00:01:21.994000,4.0,HARD,2.0,81.994
VER,Red Bull Racing,13.0,0 days 00:01:23.286000,5.0,HARD,2.0,83.286
VER,Red Bull Racing,14.0,0 days 00:01:22.869000,6.0,HARD,2.0,82.869
VER,Red Bull Racing,15.0,0 days 00:01:22.817000,7.0,HARD,2.0,82.817
VER,Red Bull Racing,16.0,0 days 00:01:22.599000,8.0,HARD,2.0,82.599
VER,Red Bull Racing,17.0,0 days 00:01:22.595000,9.0,HARD,2.0,82.595
VER,Red Bull Racing,20.0,0 days 00:01:22.389000,12.0,HARD,2.0,82.389
VER,Red Bull Racing,21.0,0 days 00:01:22.110000,13.0,HARD,2.0,82.11
VER,Red Bull Racing,22.0,0 days 00:01:22.269000,14.0,HARD,2.0,82.269
VER,Red Bull Racing,23.0,0 days 00:01:22.193000,15.0,HARD,2.0,82.193
VER,Red Bull Racing,24.0,0 days 00:01:21.843000,16.0,HARD,2.0,81.843
VER,Red Bull Racing,25.0,0 days 00:01:22.104000,17.0,HARD,2.0,82.104
VER,Red Bull Racing,26.0,0 days 00:01:21.972000,18.0,HARD,2.0,81.972
VER,Red Bull Racing,27.0,0 days 00:01:21.924000,19.0,HARD,2.0,81.924
VER,Red Bull Racing,28.0,0 days 00:01:21.926000,20.0,HARD,2.0,81.926
VER,Red Bull Racing,29.0,0 days 00:01:21.772000,21.0,HARD,2.0,81.772
