Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,4.0,0 days 00:01:09.691000,4.0,MEDIUM,2.0,69.691
VER,Red Bull Racing,5.0,0 days 00:01:10.026000,5.0,MEDIUM,2.0,70.026
VER,Red Bull Racing,6.0,0 days 00:01:10.156000,6.0,MEDIUM,2.0,70.156
VER,Red Bull Racing,7.0,0 days 00:01:10.168000,7.0,MEDIUM,2.0,70.168
VER,Red Bull Racing,8.0,0 days 00:01:09.967000,8.0,MEDIUM,2.0,69.967
VER,Red Bull Racing,9.0,0 days 00:01:09.989000,9.0,MEDIUM,2.0,69.989
VER,Red Bull Racing,10.0,0 days 00:01:09.856000,10.0,MEDIUM,2.0,69.856
VER,Red Bull Racing,11.0,0 days 00:01:10.051000,11.0,MEDIUM,2.0,70.051
VER,Red Bull Racing,12.0,0 days 00:01:09.833000,12.0,MEDIUM,2.0,69.833
VER,Red Bull Racing,13.0,0 days 00:01:10.196000,13.0,MEDIUM,2.0,70.196
VER,Red Bull Racing,14.0,0 days 00:01:13.573000,14.0,MEDIUM,2.0,73.573
VER,Red Bull Racing,17.0,0 days 00:01:09.924000,17.0,MEDIUM,2.0,69.924
VER,Red Bull Racing,18.0,0 days 00:01:10.002000,18.0,MEDIUM,2.0,70.002
VER,Red Bull Racing,19.0,0 days 00:01:09.942000,19.0,MEDIUM,2.0,69.942
VER,Red Bull Racing,20.0,0 days 00:01:10.160000,20.0,MEDIUM,2.0,70.16
VER,Red Bull Racing,21.0,0 days 00:01:10.142000,21.0,MEDIUM,2.0,70.142
VER,Red Bull Racing,22.0,0 days 00:01:10.337000,22.0,MEDIUM,2.0,70.337
VER,Red Bull Racing,23.0,0 days 00:01:10.396000,23.0,MEDIUM,2.0,70.396
VER,Red Bull Racing,24.0,0 days 00:01:13.519000,24.0,MEDIUM,2.0,73.519
VER,Red Bull Racing,26.0,0 days 00:01:08.929000,2.0,HARD,3.0,68.929
VER,Red Bull Racing,27.0,0 days 00:01:09.245000,3.0,HARD,3.0,69.245
VER,Red Bull Racing,28.0,0 days 00:01:09.251000,4.0,HARD,3.0,69.251
VER,Red Bull Racing,29.0,0 days 00:01:09.289000,5.0,HARD,3.0,69.289
VER,Red Bull Racing,30.0,0 days 00:01:09.373000,6.0,HARD,3.0,69.373
VER,Red Bull Racing,31.0,0 days 00:01:09.576000,7.0,HARD,3.0,69.576
VER,Red Bull Racing,32.0,0 days 00:01:09.603000,8.0,HARD,3.0,69.603
VER,Red Bull Racing,33.0,0 days 00:01:09.631000,9.0,HARD,3.0,69.631
VER,Red Bull Racing,34.0,0 days 00:01:09.779000,10.0,HARD,3.0,69.779
VER,Red Bull Racing,35.0,0 days 00:01:09.265000,11.0,HARD,3.0,69.265
VER,Red Bull Racing,36.0,0 days 00:01:09.367000,12.0,HARD,3.0,69.367
VER,Red Bull Racing,37.0,0 days 00:01:09.707000,13.0,HARD,3.0,69.707
VER,Red Bull Racing,38.0,0 days 00:01:09.568000,14.0,HARD,3.0,69.568
VER,Red Bull Racing,39.0,0 days 00:01:09.386000,15.0,HARD,3.0,69.386
VER,Red Bull Racing,40.0,0 days 00:01:09.431000,16.0,HARD,3.0,69.431
VER,Red Bull Racing,41.0,0 days 00:01:09.527000,17.0,HARD,3.0,69.527
VER,Red Bull Racing,42.0,0 days 00:01:09.511000,18.0,HARD,3.0,69.511
VER,Red Bull Racing,43.0,0 days 00:01:09.592000,19.0,HARD,3.0,69.592
VER,Red Bull Racing,44.0,0 days 00:01:09.678000,20.0,HARD,3.0,69.678
VER,Red Bull Racing,45.0,0 days 00:01:09.651000,21.0,HARD,3.0,69.651
VER,Red Bull Racing,46.0,0 days 00:01:09.563000,22.0,HARD,3.0,69.563
VER,Red Bull Racing,47.0,0 days 00:01:09.451000,23.0,HARD,3.0,69.451
VER,Red Bull Racing,48.0,0 days 00:01:09.419000,24.0,HARD,3.0,69.419
VER,Red Bull Racing,49.0,0 days 00:01:13.176000,25.0,HARD,3.0,73.176
VER,Red Bull Racing,51.0,0 days 00:01:08.150000,2.0,MEDIUM,4.0,68.15
VER,Red Bull Racing,52.0,0 days 00:01:08.342000,3.0,MEDIUM,4.0,68.342
VER,Red Bull Racing,53.0,0 days 00:01:08.235000,4.0,MEDIUM,4.0,68.235
VER,Red Bull Racing,54.0,0 days 00:01:08.250000,5.0,MEDIUM,4.0,68.25
VER,Red Bull Racing,55.0,0 days 00:01:08.273000,6.0,MEDIUM,4.0,68.273
VER,Red Bull Racing,56.0,0 days 00:01:08.350000,7.0,MEDIUM,4.0,68.35
VER,Red Bull Racing,57.0,0 days 00:01:08.412000,8.0,MEDIUM,4.0,68.412
VER,Red Bull Racing,58.0,0 days 00:01:08.489000,9.0,MEDIUM,4.0,68.489
VER,Red Bull Racing,59.0,0 days 00:01:08.609000,10.0,MEDIUM,4.0,68.609
VER,Red Bull Racing,60.0,0 days 00:01:08.535000,11.0,MEDIUM,4.0,68.535
VER,Red Bull Racing,61.0,0 days 00:01:08.485000,12.0,MEDIUM,4.0,68.485
VER,Red Bull Racing,62.0,0 days 00:01:08.567000,13.0,MEDIUM,4.0,68.567
VER,Red Bull Racing,63.0,0 days 00:01:08.624000,14.0,MEDIUM,4.0,68.624
VER,Red Bull Racing,64.0,0 days 00:01:08.692000,15.0,MEDIUM,4.0,68.692
VER,Red Bull Racing,65.0,0 days 00:01:08.878000,16.0,MEDIUM,4.0,68.878
VER,Red Bull Racing,66.0,0 days 00:01:08.601000,17.0,MEDIUM,4.0,68.601
VER,Red Bull Racing,67.0,0 days 00:01:08.854000,18.0,MEDIUM,4.0,68.854
VER,Red Bull Racing,68.0,0 days 00:01:09.216000,19.0,MEDIUM,4.0,69.216
VER,Red Bull Racing,69.0,0 days 00:01:12.228000,20.0,MEDIUM,4.0,72.228
VER,Red Bull Racing,71.0,0 days 00:01:07.012000,5.0,SOFT,5.0,67.012
GAS,Alpine,4.0,0 days 00:01:12.253000,4.0,MEDIUM,2.0,72.253
GAS,Alpine,5.0,0 days 00:01:11.836000,5.0,MEDIUM,2.0,71.836
GAS,Alpine,6.0,0 days 00:01:11.213000,6.0,MEDIUM,2.0,71.213
GAS,Alpine,7.0,0 days 00:01:11.092000,7.0,MEDIUM,2.0,71.092
GAS,Alpine,8.0,0 days 00:01:11.638000,8.0,MEDIUM,2.0,71.638
GAS,Alpine,9.0,0 days 00:01:11.290000,9.0,MEDIUM,2.0,71.29
GAS,Alpine,10.0,0 days 00:01:11.155000,10.0,MEDIUM,2.0,71.155
GAS,Alpine,11.0,0 days 00:01:10.883000,11.0,MEDIUM,2.0,70.883
GAS,Alpine,12.0,0 days 00:01:11.256000,12.0,MEDIUM,2.0,71.256
GAS,Alpine,13.0,0 days 00:01:11.110000,13.0,MEDIUM,2.0,71.11
GAS,Alpine,16.0,0 days 00:01:13.388000,2.0,HARD,3.0,73.388
GAS,Alpine,17.0,0 days 00:01:10.588000,3.0,HARD,3.0,70.588
GAS,Alpine,18.0,0 days 00:01:10.028000,4.0,HARD,3.0,70.028
GAS,Alpine,19.0,0 days 00:01:10.730000,5.0,HARD,3.0,70.73
GAS,Alpine,20.0,0 days 00:01:10.488000,6.0,HARD,3.0,70.488
GAS,Alpine,21.0,0 days 00:01:10.379000,7.0,HARD,3.0,70.379
GAS,Alpine,22.0,0 days 00:01:10.538000,8.0,HARD,3.0,70.538
GAS,Alpine,23.0,0 days 00:01:10.592000,9.0,HARD,3.0,70.592
GAS,Alpine,24.0,0 days 00:01:10.345000,10.0,HARD,3.0,70.345
GAS,Alpine,25.0,0 days 00:01:10.541000,11.0,HARD,3.0,70.541
GAS,Alpine,26.0,0 days 00:01:10.662000,12.0,HARD,3.0,70.662
GAS,Alpine,27.0,0 days 00:01:10.649000,13.0,HARD,3.0,70.649
GAS,Alpine,28.0,0 days 00:01:10.670000,14.0,HARD,3.0,70.67
