Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:39.019000,4.0,SOFT,1.0,99.019
VER,Red Bull Racing,2.0,0 days 00:01:37.974000,5.0,SOFT,1.0,97.974
VER,Red Bull Racing,3.0,0 days 00:01:38.006000,6.0,SOFT,1.0,98.006
VER,Red Bull Racing,4.0,0 days 00:01:37.976000,7.0,SOFT,1.0,97.976
VER,Red Bull Racing,5.0,0 days 00:01:38.035000,8.0,SOFT,1.0,98.035
VER,Red Bull Racing,6.0,0 days 00:01:37.986000,9.0,SOFT,1.0,97.986
VER,Red Bull Racing,7.0,0 days 00:01:38.021000,10.0,SOFT,1.0,98.021
VER,Red Bull Racing,8.0,0 days 00:01:38.154000,11.0,SOFT,1.0,98.154
VER,Red Bull Racing,9.0,0 days 00:01:38.278000,12.0,SOFT,1.0,98.278
VER,Red Bull Racing,10.0,0 days 00:01:38.369000,13.0,SOFT,1.0,98.369
VER,Red Bull Racing,11.0,0 days 00:01:38.483000,14.0,SOFT,1.0,98.483
VER,Red Bull Racing,12.0,0 days 00:01:38.591000,15.0,SOFT,1.0,98.591
VER,Red Bull Racing,13.0,0 days 00:01:38.482000,16.0,SOFT,1.0,98.482
VER,Red Bull Racing,14.0,0 days 00:01:41.295000,17.0,SOFT,1.0,101.295
VER,Red Bull Racing,16.0,0 days 00:01:37.801000,2.0,SOFT,2.0,97.801
VER,Red Bull Racing,17.0,0 days 00:01:37.648000,3.0,SOFT,2.0,97.648
VER,Red Bull Racing,18.0,0 days 00:01:37.614000,4.0,SOFT,2.0,97.614
VER,Red Bull Racing,19.0,0 days 00:01:37.712000,5.0,SOFT,2.0,97.712
VER,Red Bull Racing,20.0,0 days 00:01:37.788000,6.0,SOFT,2.0,97.788
VER,Red Bull Racing,21.0,0 days 00:01:37.582000,7.0,SOFT,2.0,97.582
VER,Red Bull Racing,22.0,0 days 00:01:37.651000,8.0,SOFT,2.0,97.651
VER,Red Bull Racing,23.0,0 days 00:01:37.552000,9.0,SOFT,2.0,97.552
VER,Red Bull Racing,24.0,0 days 00:01:37.387000,10.0,SOFT,2.0,97.387
VER,Red Bull Racing,25.0,0 days 00:01:37.372000,11.0,SOFT,2.0,97.372
VER,Red Bull Racing,26.0,0 days 00:01:37.682000,12.0,SOFT,2.0,97.682
VER,Red Bull Racing,27.0,0 days 00:01:37.379000,13.0,SOFT,2.0,97.379
VER,Red Bull Racing,28.0,0 days 00:01:37.651000,14.0,SOFT,2.0,97.651
VER,Red Bull Racing,29.0,0 days 00:01:37.571000,15.0,SOFT,2.0,97.571
VER,Red Bull Racing,30.0,0 days 00:01:37.549000,16.0,SOFT,2.0,97.549
VER,Red Bull Racing,31.0,0 days 00:01:37.431000,17.0,SOFT,2.0,97.431
VER,Red Bull Racing,32.0,0 days 00:01:37.691000,18.0,SOFT,2.0,97.691
VER,Red Bull Racing,33.0,0 days 00:01:37.686000,19.0,SOFT,2.0,97.686
VER,Red Bull Racing,34.0,0 days 00:01:37.839000,20.0,SOFT,2.0,97.839
VER,Red Bull Racing,35.0,0 days 00:01:37.850000,21.0,SOFT,2.0,97.85
VER,Red Bull Racing,36.0,0 days 00:01:40.964000,22.0,SOFT,2.0,100.964
VER,Red Bull Racing,38.0,0 days 00:01:36.297000,2.0,HARD,3.0,96.297
VER,Red Bull Racing,39.0,0 days 00:01:36.446000,3.0,HARD,3.0,96.446
VER,Red Bull Racing,40.0,0 days 00:01:36.942000,4.0,HARD,3.0,96.942
VER,Red Bull Racing,42.0,0 days 00:01:44.824000,6.0,HARD,3.0,104.824
VER,Red Bull Racing,43.0,0 days 00:01:36.890000,7.0,HARD,3.0,96.89
VER,Red Bull Racing,44.0,0 days 00:01:36.236000,8.0,HARD,3.0,96.236
VER,Red Bull Racing,45.0,0 days 00:01:37.015000,9.0,HARD,3.0,97.015
VER,Red Bull Racing,46.0,0 days 00:01:36.701000,10.0,HARD,3.0,96.701
VER,Red Bull Racing,47.0,0 days 00:01:37.009000,11.0,HARD,3.0,97.009
VER,Red Bull Racing,48.0,0 days 00:01:36.918000,12.0,HARD,3.0,96.918
VER,Red Bull Racing,49.0,0 days 00:01:36.962000,13.0,HARD,3.0,96.962
VER,Red Bull Racing,50.0,0 days 00:01:37.250000,14.0,HARD,3.0,97.25
VER,Red Bull Racing,51.0,0 days 00:01:37.427000,15.0,HARD,3.0,97.427
VER,Red Bull Racing,52.0,0 days 00:01:36.919000,16.0,HARD,3.0,96.919
VER,Red Bull Racing,53.0,0 days 00:01:36.890000,17.0,HARD,3.0,96.89
VER,Red Bull Racing,54.0,0 days 00:01:36.678000,18.0,HARD,3.0,96.678
VER,Red Bull Racing,55.0,0 days 00:01:36.322000,19.0,HARD,3.0,96.322
VER,Red Bull Racing,56.0,0 days 00:01:37.205000,20.0,HARD,3.0,97.205
VER,Red Bull Racing,57.0,0 days 00:01:36.373000,21.0,HARD,3.0,96.373
GAS,Alpine,2.0,0 days 00:01:40.438000,2.0,SOFT,1.0,100.438
GAS,Alpine,3.0,0 days 00:01:40.643000,3.0,SOFT,1.0,100.643
GAS,Alpine,4.0,0 days 00:01:40.894000,4.0,SOFT,1.0,100.894
GAS,Alpine,5.0,0 days 00:01:40.818000,5.0,SOFT,1.0,100.818
GAS,Alpine,6.0,0 days 00:01:41.110000,6.0,SOFT,1.0,101.11
GAS,Alpine,7.0,0 days 00:01:41.134000,7.0,SOFT,1.0,101.134
GAS,Alpine,8.0,0 days 00:01:41.173000,8.0,SOFT,1.0,101.173
GAS,Alpine,9.0,0 days 00:01:44.201000,9.0,SOFT,1.0,104.201
GAS,Alpine,11.0,0 days 00:01:38.762000,2.0,HARD,2.0,98.762
GAS,Alpine,12.0,0 days 00:01:38.928000,3.0,HARD,2.0,98.928
GAS,Alpine,13.0,0 days 00:01:39.349000,4.0,HARD,2.0,99.349
GAS,Alpine,14.0,0 days 00:01:38.859000,5.0,HARD,2.0,98.859
GAS,Alpine,15.0,0 days 00:01:38.985000,6.0,HARD,2.0,98.985
GAS,Alpine,16.0,0 days 00:01:38.945000,7.0,HARD,2.0,98.945
GAS,Alpine,17.0,0 days 00:01:39.011000,8.0,HARD,2.0,99.011
GAS,Alpine,18.0,0 days 00:01:39.029000,9.0,HARD,2.0,99.029
GAS,Alpine,19.0,0 days 00:01:39.066000,10.0,HARD,2.0,99.066
GAS,Alpine,20.0,0 days 00:01:39.017000,11.0,HARD,2.0,99.017
GAS,Alpine,21.0,0 days 00:01:39.327000,12.0,HARD,2.0,99.327
GAS,Alpine,22.0,0 days 00:01:39.485000,13.0,HARD,2.0,99.485
GAS,Alpine,23.0,0 days 00:01:39.263000,14.0,HARD,2.0,99.263
GAS,Alpine,24.0,0 days 00:01:39.761000,15.0,HARD,2.0,99.761
GAS,Alpine,25.0,0 days 00:01:42.288000,16.0,HARD,2.0,102.288
GAS,Alpine,27.0,0 days 00:01:38.729000,2.0,HARD,3.0,98.729
GAS,Alpine,28.0,0 days 00:01:37.761000,3.0,HARD,3.0,97.761
GAS,Alpine,29.0,0 days 00:01:38.012000,4.0,HARD,3.0,98.012
