Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:55.659000,1.0,SOFT,1.0,115.659
VER,Red Bull Racing,2.0,0 days 00:01:53.103000,2.0,SOFT,1.0,113.103
VER,Red Bull Racing,3.0,0 days 00:01:52.277000,3.0,SOFT,1.0,112.277
VER,Red Bull Racing,4.0,0 days 00:01:52.789000,4.0,SOFT,1.0,112.789
VER,Red Bull Racing,5.0,0 days 00:01:52.602000,5.0,SOFT,1.0,112.602
VER,Red Bull Racing,6.0,0 days 00:01:52.130000,6.0,SOFT,1.0,112.13
VER,Red Bull Racing,7.0,0 days 00:01:52.415000,7.0,SOFT,1.0,112.415
VER,Red Bull Racing,8.0,0 days 00:01:52.472000,8.0,SOFT,1.0,112.472
VER,Red Bull Racing,9.0,0 days 00:01:51.880000,9.0,SOFT,1.0,111.88
VER,Red Bull Racing,10.0,0 days 00:01:52.455000,10.0,SOFT,1.0,112.455
VER,Red Bull Racing,11.0,0 days 00:01:52.613000,11.0,SOFT,1.0,112.613
VER,Red Bull Racing,12.0,0 days 00:01:52.714000,12.0,SOFT,1.0,112.714
VER,Red Bull Racing,13.0,0 days 00:01:52.962000,13.0,SOFT,1.0,112.962
VER,Red Bull Racing,14.0,0 days 00:01:57.166000,14.0,SOFT,1.0,117.166
VER,Red Bull Racing,16.0,0 days 00:01:50.696000,2.0,MEDIUM,2.0,110.696
VER,Red Bull Racing,17.0,0 days 00:01:50.108000,3.0,MEDIUM,2.0,110.108
VER,Red Bull Racing,18.0,0 days 00:01:51.637000,4.0,MEDIUM,2.0,111.637
VER,Red Bull Racing,19.0,0 days 00:01:51.956000,5.0,MEDIUM,2.0,111.956
VER,Red Bull Racing,20.0,0 days 00:01:55.733000,6.0,MEDIUM,2.0,115.733
VER,Red Bull Racing,21.0,0 days 00:01:54.915000,7.0,MEDIUM,2.0,114.915
VER,Red Bull Racing,22.0,0 days 00:01:55.325000,8.0,MEDIUM,2.0,115.325
VER,Red Bull Racing,23.0,0 days 00:01:52.905000,9.0,MEDIUM,2.0,112.905
VER,Red Bull Racing,24.0,0 days 00:01:50.996000,10.0,MEDIUM,2.0,110.996
VER,Red Bull Racing,25.0,0 days 00:01:51.106000,11.0,MEDIUM,2.0,111.106
VER,Red Bull Racing,26.0,0 days 00:01:51.377000,12.0,MEDIUM,2.0,111.377
VER,Red Bull Racing,27.0,0 days 00:01:51.472000,13.0,MEDIUM,2.0,111.472
VER,Red Bull Racing,28.0,0 days 00:01:51.410000,14.0,MEDIUM,2.0,111.41
VER,Red Bull Racing,29.0,0 days 00:01:51.595000,15.0,MEDIUM,2.0,111.595
VER,Red Bull Racing,30.0,0 days 00:01:55.882000,16.0,MEDIUM,2.0,115.882
VER,Red Bull Racing,32.0,0 days 00:01:48.922000,2.0,SOFT,3.0,108.922
VER,Red Bull Racing,33.0,0 days 00:01:50.586000,3.0,SOFT,3.0,110.586
VER,Red Bull Racing,34.0,0 days 00:01:50.792000,4.0,SOFT,3.0,110.792
VER,Red Bull Racing,35.0,0 days 00:01:50.408000,5.0,SOFT,3.0,110.408
VER,Red Bull Racing,36.0,0 days 00:01:50.362000,6.0,SOFT,3.0,110.362
VER,Red Bull Racing,37.0,0 days 00:01:50.317000,7.0,SOFT,3.0,110.317
VER,Red Bull Racing,38.0,0 days 00:01:50.147000,8.0,SOFT,3.0,110.147
VER,Red Bull Racing,39.0,0 days 00:01:50.113000,9.0,SOFT,3.0,110.113
VER,Red Bull Racing,40.0,0 days 00:01:50.067000,10.0,SOFT,3.0,110.067
VER,Red Bull Racing,41.0,0 days 00:01:49.954000,11.0,SOFT,3.0,109.954
VER,Red Bull Racing,42.0,0 days 00:01:50.187000,12.0,SOFT,3.0,110.187
VER,Red Bull Racing,43.0,0 days 00:01:50.095000,13.0,SOFT,3.0,110.095
VER,Red Bull Racing,44.0,0 days 00:01:50.579000,14.0,SOFT,3.0,110.579
PER,Red Bull Racing,1.0,0 days 00:01:53.295000,1.0,SOFT,1.0,113.295
PER,Red Bull Racing,2.0,0 days 00:01:52.166000,2.0,SOFT,1.0,112.166
PER,Red Bull Racing,3.0,0 days 00:01:52.153000,3.0,SOFT,1.0,112.153
PER,Red Bull Racing,4.0,0 days 00:01:52.336000,4.0,SOFT,1.0,112.336
PER,Red Bull Racing,5.0,0 days 00:01:52.572000,5.0,SOFT,1.0,112.572
PER,Red Bull Racing,6.0,0 days 00:01:52.466000,6.0,SOFT,1.0,112.466
PER,Red Bull Racing,7.0,0 days 00:01:52.520000,7.0,SOFT,1.0,112.52
PER,Red Bull Racing,8.0,0 days 00:01:52.305000,8.0,SOFT,1.0,112.305
PER,Red Bull Racing,9.0,0 days 00:01:52.465000,9.0,SOFT,1.0,112.465
PER,Red Bull Racing,10.0,0 days 00:01:52.720000,10.0,SOFT,1.0,112.72
PER,Red Bull Racing,11.0,0 days 00:01:52.644000,11.0,SOFT,1.0,112.644
PER,Red Bull Racing,12.0,0 days 00:01:52.973000,12.0,SOFT,1.0,112.973
PER,Red Bull Racing,13.0,0 days 00:01:57.632000,13.0,SOFT,1.0,117.632
PER,Red Bull Racing,15.0,0 days 00:01:51.621000,2.0,MEDIUM,2.0,111.621
PER,Red Bull Racing,16.0,0 days 00:01:51.416000,3.0,MEDIUM,2.0,111.416
PER,Red Bull Racing,17.0,0 days 00:01:52.175000,4.0,MEDIUM,2.0,112.175
PER,Red Bull Racing,18.0,0 days 00:01:52.289000,5.0,MEDIUM,2.0,112.289
PER,Red Bull Racing,19.0,0 days 00:01:53.525000,6.0,MEDIUM,2.0,113.525
PER,Red Bull Racing,20.0,0 days 00:01:55.459000,7.0,MEDIUM,2.0,115.459
PER,Red Bull Racing,21.0,0 days 00:01:55.448000,8.0,MEDIUM,2.0,115.448
PER,Red Bull Racing,22.0,0 days 00:01:56.286000,9.0,MEDIUM,2.0,116.286
PER,Red Bull Racing,23.0,0 days 00:01:53.361000,10.0,MEDIUM,2.0,113.361
PER,Red Bull Racing,24.0,0 days 00:01:51.716000,11.0,MEDIUM,2.0,111.716
PER,Red Bull Racing,25.0,0 days 00:01:51.692000,12.0,MEDIUM,2.0,111.692
PER,Red Bull Racing,26.0,0 days 00:01:51.891000,13.0,MEDIUM,2.0,111.891
PER,Red Bull Racing,27.0,0 days 00:01:52.199000,14.0,MEDIUM,2.0,112.199
PER,Red Bull Racing,28.0,0 days 00:01:52.162000,15.0,MEDIUM,2.0,112.162
PER,Red Bull Racing,29.0,0 days 00:01:56.724000,16.0,MEDIUM,2.0,116.724
