Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,5.0,0 days 00:01:15.745000,6.0,SOFT,3.0,75.745
VER,Red Bull Racing,6.0,0 days 00:01:15.547000,7.0,SOFT,3.0,75.547
VER,Red Bull Racing,7.0,0 days 00:01:15.591000,8.0,SOFT,3.0,75.591
VER,Red Bull Racing,8.0,0 days 00:01:15.864000,9.0,SOFT,3.0,75.864
VER,Red Bull Racing,9.0,0 days 00:01:16.169000,10.0,SOFT,3.0,76.169
VER,Red Bull Racing,10.0,0 days 00:01:15.989000,11.0,SOFT,3.0,75.989
VER,Red Bull Racing,11.0,0 days 00:01:16.272000,12.0,SOFT,3.0,76.272
VER,Red Bull Racing,12.0,0 days 00:01:15.879000,13.0,SOFT,3.0,75.879
VER,Red Bull Racing,13.0,0 days 00:01:16.299000,14.0,SOFT,3.0,76.299
VER,Red Bull Racing,14.0,0 days 00:01:16.080000,15.0,SOFT,3.0,76.08
VER,Red Bull Racing,15.0,0 days 00:01:16.408000,16.0,SOFT,3.0,76.408
VER,Red Bull Racing,16.0,0 days 00:01:16.305000,17.0,SOFT,3.0,76.305
VER,Red Bull Racing,17.0,0 days 00:01:16.170000,18.0,SOFT,3.0,76.17
VER,Red Bull Racing,18.0,0 days 00:01:16.341000,19.0,SOFT,3.0,76.341
VER,Red Bull Racing,19.0,0 days 00:01:16.047000,20.0,SOFT,3.0,76.047
VER,Red Bull Racing,20.0,0 days 00:01:15.996000,21.0,SOFT,3.0,75.996
VER,Red Bull Racing,21.0,0 days 00:01:16.207000,22.0,SOFT,3.0,76.207
VER,Red Bull Racing,22.0,0 days 00:01:16.206000,23.0,SOFT,3.0,76.206
VER,Red Bull Racing,23.0,0 days 00:01:16.026000,24.0,SOFT,3.0,76.026
VER,Red Bull Racing,24.0,0 days 00:01:16.397000,25.0,SOFT,3.0,76.397
VER,Red Bull Racing,25.0,0 days 00:01:16.269000,26.0,SOFT,3.0,76.269
VER,Red Bull Racing,26.0,0 days 00:01:16.435000,27.0,SOFT,3.0,76.435
VER,Red Bull Racing,27.0,0 days 00:01:20.264000,28.0,SOFT,3.0,80.264
VER,Red Bull Racing,29.0,0 days 00:01:15.713000,2.0,MEDIUM,4.0,75.713
VER,Red Bull Racing,30.0,0 days 00:01:15.799000,3.0,MEDIUM,4.0,75.799
VER,Red Bull Racing,31.0,0 days 00:01:15.787000,4.0,MEDIUM,4.0,75.787
VER,Red Bull Racing,32.0,0 days 00:01:15.439000,5.0,MEDIUM,4.0,75.439
VER,Red Bull Racing,33.0,0 days 00:01:15.174000,6.0,MEDIUM,4.0,75.174
VER,Red Bull Racing,34.0,0 days 00:01:15.115000,7.0,MEDIUM,4.0,75.115
VER,Red Bull Racing,35.0,0 days 00:01:15.157000,8.0,MEDIUM,4.0,75.157
VER,Red Bull Racing,36.0,0 days 00:01:15.125000,9.0,MEDIUM,4.0,75.125
VER,Red Bull Racing,37.0,0 days 00:01:14.682000,10.0,MEDIUM,4.0,74.682
VER,Red Bull Racing,38.0,0 days 00:01:14.954000,11.0,MEDIUM,4.0,74.954
VER,Red Bull Racing,39.0,0 days 00:01:14.974000,12.0,MEDIUM,4.0,74.974
VER,Red Bull Racing,40.0,0 days 00:01:15.218000,13.0,MEDIUM,4.0,75.218
VER,Red Bull Racing,41.0,0 days 00:01:15.355000,14.0,MEDIUM,4.0,75.355
VER,Red Bull Racing,42.0,0 days 00:01:15.202000,15.0,MEDIUM,4.0,75.202
VER,Red Bull Racing,43.0,0 days 00:01:15.052000,16.0,MEDIUM,4.0,75.052
VER,Red Bull Racing,44.0,0 days 00:01:15.320000,17.0,MEDIUM,4.0,75.32
VER,Red Bull Racing,45.0,0 days 00:01:15.471000,18.0,MEDIUM,4.0,75.471
VER,Red Bull Racing,46.0,0 days 00:01:15.329000,19.0,MEDIUM,4.0,75.329
VER,Red Bull Racing,47.0,0 days 00:01:15.362000,20.0,MEDIUM,4.0,75.362
VER,Red Bull Racing,48.0,0 days 00:01:15.524000,21.0,MEDIUM,4.0,75.524
VER,Red Bull Racing,49.0,0 days 00:01:15.442000,22.0,MEDIUM,4.0,75.442
VER,Red Bull Racing,50.0,0 days 00:01:15.436000,23.0,MEDIUM,4.0,75.436
VER,Red Bull Racing,51.0,0 days 00:01:15.440000,24.0,MEDIUM,4.0,75.44
VER,Red Bull Racing,52.0,0 days 00:01:15.390000,25.0,MEDIUM,4.0,75.39
