Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:23.080000,1.0,MEDIUM,1.0,83.08
VER,Red Bull Racing,2.0,0 days 00:01:18.075000,2.0,MEDIUM,1.0,78.075
VER,Red Bull Racing,3.0,0 days 00:01:17.767000,3.0,MEDIUM,1.0,77.767
VER,Red Bull Racing,4.0,0 days 00:01:17.203000,4.0,MEDIUM,1.0,77.203
VER,Red Bull Racing,5.0,0 days 00:01:17.371000,5.0,MEDIUM,1.0,77.371
VER,Red Bull Racing,6.0,0 days 00:01:17.607000,6.0,MEDIUM,1.0,77.607
VER,Red Bull Racing,7.0,0 days 00:01:17.565000,7.0,MEDIUM,1.0,77.565
VER,Red Bull Racing,9.0,0 days 00:01:17.495000,9.0,MEDIUM,1.0,77.495
VER,Red Bull Racing,10.0,0 days 00:01:17.359000,10.0,MEDIUM,1.0,77.359
VER,Red Bull Racing,11.0,0 days 00:01:17.268000,11.0,MEDIUM,1.0,77.268
VER,Red Bull Racing,17.0,0 days 00:01:17.145000,5.0,HARD,2.0,77.145
VER,Red Bull Racing,18.0,0 days 00:01:16.682000,6.0,HARD,2.0,76.682
VER,Red Bull Racing,19.0,0 days 00:01:16.630000,7.0,HARD,2.0,76.63
VER,Red Bull Racing,20.0,0 days 00:01:16.607000,8.0,HARD,2.0,76.607
VER,Red Bull Racing,21.0,0 days 00:01:16.652000,9.0,HARD,2.0,76.652
VER,Red Bull Racing,22.0,0 days 00:01:16.697000,10.0,HARD,2.0,76.697
VER,Red Bull Racing,23.0,0 days 00:01:16.946000,11.0,HARD,2.0,76.946
VER,Red Bull Racing,24.0,0 days 00:01:16.641000,12.0,HARD,2.0,76.641
VER,Red Bull Racing,25.0,0 days 00:01:16.643000,13.0,HARD,2.0,76.643
VER,Red Bull Racing,26.0,0 days 00:01:16.785000,14.0,HARD,2.0,76.785
VER,Red Bull Racing,27.0,0 days 00:01:16.928000,15.0,HARD,2.0,76.928
VER,Red Bull Racing,28.0,0 days 00:01:17.004000,16.0,HARD,2.0,77.004
VER,Red Bull Racing,29.0,0 days 00:01:16.807000,17.0,HARD,2.0,76.807
VER,Red Bull Racing,30.0,0 days 00:01:17.016000,18.0,HARD,2.0,77.016
VER,Red Bull Racing,31.0,0 days 00:01:16.849000,19.0,HARD,2.0,76.849
VER,Red Bull Racing,32.0,0 days 00:01:16.918000,20.0,HARD,2.0,76.918
VER,Red Bull Racing,33.0,0 days 00:01:16.830000,21.0,HARD,2.0,76.83
VER,Red Bull Racing,34.0,0 days 00:01:17.054000,22.0,HARD,2.0,77.054
VER,Red Bull Racing,35.0,0 days 00:01:17.225000,23.0,HARD,2.0,77.225
VER,Red Bull Racing,36.0,0 days 00:01:17.765000,24.0,HARD,2.0,77.765
VER,Red Bull Racing,37.0,0 days 00:01:17.094000,25.0,HARD,2.0,77.094
VER,Red Bull Racing,38.0,0 days 00:01:17.011000,26.0,HARD,2.0,77.011
VER,Red Bull Racing,39.0,0 days 00:01:17.273000,27.0,HARD,2.0,77.273
VER,Red Bull Racing,40.0,0 days 00:01:17.400000,28.0,HARD,2.0,77.4
VER,Red Bull Racing,41.0,0 days 00:01:17.017000,29.0,HARD,2.0,77.017
VER,Red Bull Racing,43.0,0 days 00:01:19.311000,1.0,MEDIUM,3.0,79.311
VER,Red Bull Racing,44.0,0 days 00:01:16.322000,2.0,MEDIUM,3.0,76.322
VER,Red Bull Racing,45.0,0 days 00:01:16.092000,3.0,MEDIUM,3.0,76.092
VER,Red Bull Racing,46.0,0 days 00:01:16.204000,4.0,MEDIUM,3.0,76.204
VER,Red Bull Racing,47.0,0 days 00:01:16.036000,5.0,MEDIUM,3.0,76.036
VER,Red Bull Racing,48.0,0 days 00:01:16.109000,6.0,MEDIUM,3.0,76.109
VER,Red Bull Racing,49.0,0 days 00:01:15.856000,7.0,MEDIUM,3.0,75.856
VER,Red Bull Racing,50.0,0 days 00:01:15.919000,8.0,MEDIUM,3.0,75.919
VER,Red Bull Racing,51.0,0 days 00:01:15.795000,9.0,MEDIUM,3.0,75.795
VER,Red Bull Racing,52.0,0 days 00:01:16.103000,10.0,MEDIUM,3.0,76.103
VER,Red Bull Racing,53.0,0 days 00:01:15.694000,11.0,MEDIUM,3.0,75.694
VER,Red Bull Racing,54.0,0 days 00:01:15.732000,12.0,MEDIUM,3.0,75.732
VER,Red Bull Racing,55.0,0 days 00:01:15.820000,13.0,MEDIUM,3.0,75.82
VER,Red Bull Racing,56.0,0 days 00:01:15.888000,14.0,MEDIUM,3.0,75.888
VER,Red Bull Racing,57.0,0 days 00:01:15.945000,15.0,MEDIUM,3.0,75.945
VER,Red Bull Racing,58.0,0 days 00:01:15.957000,16.0,MEDIUM,3.0,75.957
VER,Red Bull Racing,59.0,0 days 00:01:15.775000,17.0,MEDIUM,3.0,75.775
VER,Red Bull Racing,60.0,0 days 00:01:15.866000,18.0,MEDIUM,3.0,75.866
VER,Red Bull Racing,61.0,0 days 00:01:15.928000,19.0,MEDIUM,3.0,75.928
VER,Red Bull Racing,62.0,0 days 00:01:15.933000,20.0,MEDIUM,3.0,75.933
VER,Red Bull Racing,63.0,0 days 00:01:15.937000,21.0,MEDIUM,3.0,75.937
VER,Red Bull Racing,64.0,0 days 00:01:16.214000,22.0,MEDIUM,3.0,76.214
VER,Red Bull Racing,65.0,0 days 00:01:15.897000,23.0,MEDIUM,3.0,75.897
VER,Red Bull Racing,66.0,0 days 00:01:16.233000,24.0,MEDIUM,3.0,76.233
VER,Red Bull Racing,67.0,0 days 00:01:16.121000,25.0,MEDIUM,3.0,76.121
VER,Red Bull Racing,68.0,0 days 00:01:15.594000,26.0,MEDIUM,3.0,75.594
VER,Red Bull Racing,69.0,0 days 00:01:16.169000,27.0,MEDIUM,3.0,76.169
VER,Red Bull Racing,70.0,0 days 00:01:16.237000,28.0,MEDIUM,3.0,76.237
GAS,Alpine,2.0,0 days 00:01:19.340000,2.0,SOFT,1.0,79.34
GAS,Alpine,3.0,0 days 00:01:18.700000,3.0,SOFT,1.0,78.7
GAS,Alpine,4.0,0 days 00:01:18.514000,4.0,SOFT,1.0,78.514
GAS,Alpine,5.0,0 days 00:01:18.963000,5.0,SOFT,1.0,78.963
GAS,Alpine,6.0,0 days 00:01:18.298000,6.0,SOFT,1.0,78.298
GAS,Alpine,7.0,0 days 00:01:19.107000,7.0,SOFT,1.0,79.107
GAS,Alpine,9.0,0 days 00:01:18.674000,9.0,SOFT,1.0,78.674
GAS,Alpine,11.0,0 days 00:01:21.940000,1.0,HARD,2.0,81.94
GAS,Alpine,17.0,0 days 00:01:19.828000,7.0,HARD,2.0,79.828
GAS,Alpine,18.0,0 days 00:01:19.350000,8.0,HARD,2.0,79.35
GAS,Alpine,19.0,0 days 00:01:18.419000,9.0,HARD,2.0,78.419
