Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:37.167000,1.0,MEDIUM,1.0,97.167
VER,Red Bull Racing,2.0,0 days 00:01:33.433000,2.0,MEDIUM,1.0,93.433
VER,Red Bull Racing,3.0,0 days 00:01:32.730000,3.0,MEDIUM,1.0,92.73
VER,Red Bull Racing,4.0,0 days 00:01:32.780000,4.0,MEDIUM,1.0,92.78
VER,Red Bull Racing,5.0,0 days 00:01:32.582000,5.0,MEDIUM,1.0,92.582
VER,Red Bull Racing,6.0,0 days 00:01:33.027000,6.0,MEDIUM,1.0,93.027
VER,Red Bull Racing,7.0,0 days 00:01:33.100000,7.0,MEDIUM,1.0,93.1
VER,Red Bull Racing,8.0,0 days 00:01:32.884000,8.0,MEDIUM,1.0,92.884
VER,Red Bull Racing,9.0,0 days 00:01:32.822000,9.0,MEDIUM,1.0,92.822
VER,Red Bull Racing,10.0,0 days 00:01:32.594000,10.0,MEDIUM,1.0,92.594
VER,Red Bull Racing,11.0,0 days 00:01:32.597000,11.0,MEDIUM,1.0,92.597
VER,Red Bull Racing,12.0,0 days 00:01:32.687000,12.0,MEDIUM,1.0,92.687
VER,Red Bull Racing,13.0,0 days 00:01:32.678000,13.0,MEDIUM,1.0,92.678
VER,Red Bull Racing,14.0,0 days 00:01:33.046000,14.0,MEDIUM,1.0,93.046
VER,Red Bull Racing,15.0,0 days 00:01:32.990000,15.0,MEDIUM,1.0,92.99
VER,Red Bull Racing,16.0,0 days 00:01:32.808000,16.0,MEDIUM,1.0,92.808
VER,Red Bull Racing,17.0,0 days 00:01:32.603000,17.0,MEDIUM,1.0,92.603
VER,Red Bull Racing,18.0,0 days 00:01:32.507000,18.0,MEDIUM,1.0,92.507
VER,Red Bull Racing,19.0,0 days 00:01:32.338000,19.0,MEDIUM,1.0,92.338
VER,Red Bull Racing,20.0,0 days 00:01:32.295000,20.0,MEDIUM,1.0,92.295
VER,Red Bull Racing,21.0,0 days 00:01:32.494000,21.0,MEDIUM,1.0,92.494
VER,Red Bull Racing,22.0,0 days 00:01:32.184000,22.0,MEDIUM,1.0,92.184
VER,Red Bull Racing,23.0,0 days 00:01:32.272000,23.0,MEDIUM,1.0,92.272
VER,Red Bull Racing,24.0,0 days 00:01:32.350000,24.0,MEDIUM,1.0,92.35
VER,Red Bull Racing,25.0,0 days 00:01:32.295000,25.0,MEDIUM,1.0,92.295
VER,Red Bull Racing,26.0,0 days 00:01:32.276000,26.0,MEDIUM,1.0,92.276
VER,Red Bull Racing,27.0,0 days 00:01:32.138000,27.0,MEDIUM,1.0,92.138
VER,Red Bull Racing,28.0,0 days 00:01:32.215000,28.0,MEDIUM,1.0,92.215
VER,Red Bull Racing,29.0,0 days 00:01:32.251000,29.0,MEDIUM,1.0,92.251
VER,Red Bull Racing,30.0,0 days 00:01:32.363000,30.0,MEDIUM,1.0,92.363
VER,Red Bull Racing,31.0,0 days 00:01:32.388000,31.0,MEDIUM,1.0,92.388
VER,Red Bull Racing,32.0,0 days 00:01:32.210000,32.0,MEDIUM,1.0,92.21
VER,Red Bull Racing,39.0,0 days 00:01:30.348000,9.0,SOFT,2.0,90.348
VER,Red Bull Racing,40.0,0 days 00:01:30.547000,10.0,SOFT,2.0,90.547
VER,Red Bull Racing,41.0,0 days 00:01:30.688000,11.0,SOFT,2.0,90.688
VER,Red Bull Racing,42.0,0 days 00:01:30.275000,12.0,SOFT,2.0,90.275
VER,Red Bull Racing,43.0,0 days 00:01:30.535000,13.0,SOFT,2.0,90.535
VER,Red Bull Racing,44.0,0 days 00:01:30.648000,14.0,SOFT,2.0,90.648
VER,Red Bull Racing,45.0,0 days 00:01:31.342000,15.0,SOFT,2.0,91.342
VER,Red Bull Racing,46.0,0 days 00:01:31.114000,16.0,SOFT,2.0,91.114
VER,Red Bull Racing,47.0,0 days 00:01:31.148000,17.0,SOFT,2.0,91.148
VER,Red Bull Racing,48.0,0 days 00:01:31.400000,18.0,SOFT,2.0,91.4
VER,Red Bull Racing,49.0,0 days 00:01:31.218000,19.0,SOFT,2.0,91.218
VER,Red Bull Racing,50.0,0 days 00:01:31.292000,20.0,SOFT,2.0,91.292
VER,Red Bull Racing,51.0,0 days 00:01:31.397000,21.0,SOFT,2.0,91.397
VER,Red Bull Racing,52.0,0 days 00:01:30.975000,22.0,SOFT,2.0,90.975
GAS,Alpine,2.0,0 days 00:01:34.706000,2.0,MEDIUM,1.0,94.706
GAS,Alpine,3.0,0 days 00:01:33.605000,3.0,MEDIUM,1.0,93.605
GAS,Alpine,4.0,0 days 00:01:33.349000,4.0,MEDIUM,1.0,93.349
GAS,Alpine,5.0,0 days 00:01:33.863000,5.0,MEDIUM,1.0,93.863
GAS,Alpine,6.0,0 days 00:01:34.143000,6.0,MEDIUM,1.0,94.143
GAS,Alpine,7.0,0 days 00:01:34.399000,7.0,MEDIUM,1.0,94.399
GAS,Alpine,8.0,0 days 00:01:33.905000,8.0,MEDIUM,1.0,93.905
GAS,Alpine,9.0,0 days 00:01:33.592000,9.0,MEDIUM,1.0,93.592
GAS,Alpine,10.0,0 days 00:01:33.855000,10.0,MEDIUM,1.0,93.855
GAS,Alpine,11.0,0 days 00:01:33.836000,11.0,MEDIUM,1.0,93.836
GAS,Alpine,12.0,0 days 00:01:33.705000,12.0,MEDIUM,1.0,93.705
GAS,Alpine,13.0,0 days 00:01:33.683000,13.0,MEDIUM,1.0,93.683
GAS,Alpine,14.0,0 days 00:01:33.843000,14.0,MEDIUM,1.0,93.843
GAS,Alpine,15.0,0 days 00:01:33.769000,15.0,MEDIUM,1.0,93.769
GAS,Alpine,16.0,0 days 00:01:33.535000,16.0,MEDIUM,1.0,93.535
GAS,Alpine,17.0,0 days 00:01:33.138000,17.0,MEDIUM,1.0,93.138
GAS,Alpine,18.0,0 days 00:01:33.291000,18.0,MEDIUM,1.0,93.291
GAS,Alpine,19.0,0 days 00:01:33.199000,19.0,MEDIUM,1.0,93.199
GAS,Alpine,20.0,0 days 00:01:33.248000,20.0,MEDIUM,1.0,93.248
GAS,Alpine,21.0,0 days 00:01:33.098000,21.0,MEDIUM,1.0,93.098
GAS,Alpine,22.0,0 days 00:01:33.168000,22.0,MEDIUM,1.0,93.168
GAS,Alpine,23.0,0 days 00:01:32.846000,23.0,MEDIUM,1.0,92.846
GAS,Alpine,24.0,0 days 00:01:33.164000,24.0,MEDIUM,1.0,93.164
GAS,Alpine,25.0,0 days 00:01:33.098000,25.0,MEDIUM,1.0,93.098
GAS,Alpine,26.0,0 days 00:01:33.243000,26.0,MEDIUM,1.0,93.243
GAS,Alpine,27.0,0 days 00:01:32.988000,27.0,MEDIUM,1.0,92.988
GAS,Alpine,28.0,0 days 00:01:33.255000,28.0,MEDIUM,1.0,93.255
GAS,Alpine,29.0,0 days 00:01:33.283000,29.0,MEDIUM,1.0,93.283
GAS,Alpine,30.0,0 days 00:01:33.299000,30.0,MEDIUM,1.0,93.299
GAS,Alpine,31.0,0 days 00:01:33.391000,31.0,MEDIUM,1.0,93.391
GAS,Alpine,39.0,0 days 00:01:32.980000,11.0,SOFT,2.0,92.98
GAS,Alpine,40.0,0 days 00:01:32.823000,12.0,SOFT,2.0,92.823
GAS,Alpine,41.0,0 days 00:01:31.827000,13.0,SOFT,2.0,91.827
GAS,Alpine,42.0,0 days 00:01:31.539000,14.0,SOFT,2.0,91.539
GAS,Alpine,43.0,0 days 00:01:31.648000,15.0,SOFT,2.0,91.648
GAS,Alpine,44.0,0 days 00:01:32.862000,16.0,SOFT,2.0,92.862
GAS,Alpine,45.0,0 days 00:01:36.665000,17.0,SOFT,2.0,96.665
PER,Red Bull Racing,2.0,0 days 00:01:35.482000,2.0,MEDIUM,1.0,95.482
PER,Red Bull Racing,3.0,0 days 00:01:34.380000,3.0,MEDIUM,1.0,94.38
PER,Red Bull Racing,4.0,0 days 00:01:34.339000,4.0,MEDIUM,1.0,94.339
PER,Red Bull Racing,5.0,0 days 00:01:34.073000,5.0,MEDIUM,1.0,94.073
PER,Red Bull Racing,6.0,0 days 00:01:33.671000,6.0,MEDIUM,1.0,93.671
PER,Red Bull Racing,7.0,0 days 00:01:33.919000,7.0,MEDIUM,1.0,93.919
PER,Red Bull Racing,8.0,0 days 00:01:33.568000,8.0,MEDIUM,1.0,93.568
PER,Red Bull Racing,9.0,0 days 00:01:33.271000,9.0,MEDIUM,1.0,93.271
