Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:27.912000,4.0,MEDIUM,1.0,87.912
VER,Red Bull Racing,2.0,0 days 00:01:25.157000,5.0,MEDIUM,1.0,85.157
VER,Red Bull Racing,3.0,0 days 00:01:25.070000,6.0,MEDIUM,1.0,85.07
VER,Red Bull Racing,4.0,0 days 00:01:24.542000,7.0,MEDIUM,1.0,84.542
VER,Red Bull Racing,5.0,0 days 00:01:24.843000,8.0,MEDIUM,1.0,84.843
VER,Red Bull Racing,6.0,0 days 00:01:24.596000,9.0,MEDIUM,1.0,84.596
VER,Red Bull Racing,7.0,0 days 00:01:24.487000,10.0,MEDIUM,1.0,84.487
VER,Red Bull Racing,8.0,0 days 00:01:24.509000,11.0,MEDIUM,1.0,84.509
VER,Red Bull Racing,9.0,0 days 00:01:24.437000,12.0,MEDIUM,1.0,84.437
VER,Red Bull Racing,10.0,0 days 00:01:24.405000,13.0,MEDIUM,1.0,84.405
VER,Red Bull Racing,11.0,0 days 00:01:24.462000,14.0,MEDIUM,1.0,84.462
VER,Red Bull Racing,12.0,0 days 00:01:24.306000,15.0,MEDIUM,1.0,84.306
VER,Red Bull Racing,13.0,0 days 00:01:24.355000,16.0,MEDIUM,1.0,84.355
VER,Red Bull Racing,14.0,0 days 00:01:24.201000,17.0,MEDIUM,1.0,84.201
VER,Red Bull Racing,15.0,0 days 00:01:24.121000,18.0,MEDIUM,1.0,84.121
VER,Red Bull Racing,16.0,0 days 00:01:24.373000,19.0,MEDIUM,1.0,84.373
VER,Red Bull Racing,17.0,0 days 00:01:24.214000,20.0,MEDIUM,1.0,84.214
VER,Red Bull Racing,18.0,0 days 00:01:24.195000,21.0,MEDIUM,1.0,84.195
VER,Red Bull Racing,19.0,0 days 00:01:24.396000,22.0,MEDIUM,1.0,84.396
VER,Red Bull Racing,20.0,0 days 00:01:24.065000,23.0,MEDIUM,1.0,84.065
VER,Red Bull Racing,21.0,0 days 00:01:24.012000,24.0,MEDIUM,1.0,84.012
VER,Red Bull Racing,22.0,0 days 00:01:24.360000,25.0,MEDIUM,1.0,84.36
VER,Red Bull Racing,23.0,0 days 00:01:27.151000,26.0,MEDIUM,1.0,87.151
VER,Red Bull Racing,25.0,0 days 00:01:23.777000,2.0,HARD,2.0,83.777
VER,Red Bull Racing,26.0,0 days 00:01:23.717000,3.0,HARD,2.0,83.717
VER,Red Bull Racing,27.0,0 days 00:01:23.636000,4.0,HARD,2.0,83.636
VER,Red Bull Racing,28.0,0 days 00:01:23.687000,5.0,HARD,2.0,83.687
VER,Red Bull Racing,29.0,0 days 00:01:23.762000,6.0,HARD,2.0,83.762
VER,Red Bull Racing,30.0,0 days 00:01:23.624000,7.0,HARD,2.0,83.624
VER,Red Bull Racing,31.0,0 days 00:01:23.590000,8.0,HARD,2.0,83.59
VER,Red Bull Racing,32.0,0 days 00:01:23.292000,9.0,HARD,2.0,83.292
VER,Red Bull Racing,33.0,0 days 00:01:23.523000,10.0,HARD,2.0,83.523
VER,Red Bull Racing,34.0,0 days 00:01:23.507000,11.0,HARD,2.0,83.507
VER,Red Bull Racing,35.0,0 days 00:01:23.489000,12.0,HARD,2.0,83.489
VER,Red Bull Racing,36.0,0 days 00:01:23.285000,13.0,HARD,2.0,83.285
VER,Red Bull Racing,37.0,0 days 00:01:23.250000,14.0,HARD,2.0,83.25
VER,Red Bull Racing,38.0,0 days 00:01:23.470000,15.0,HARD,2.0,83.47
VER,Red Bull Racing,39.0,0 days 00:01:24.143000,16.0,HARD,2.0,84.143
VER,Red Bull Racing,40.0,0 days 00:01:23.705000,17.0,HARD,2.0,83.705
VER,Red Bull Racing,41.0,0 days 00:01:23.023000,18.0,HARD,2.0,83.023
VER,Red Bull Racing,42.0,0 days 00:01:23.309000,19.0,HARD,2.0,83.309
VER,Red Bull Racing,43.0,0 days 00:01:23.338000,20.0,HARD,2.0,83.338
VER,Red Bull Racing,44.0,0 days 00:01:23.772000,21.0,HARD,2.0,83.772
VER,Red Bull Racing,45.0,0 days 00:01:23.930000,22.0,HARD,2.0,83.93
VER,Red Bull Racing,46.0,0 days 00:01:23.639000,23.0,HARD,2.0,83.639
VER,Red Bull Racing,47.0,0 days 00:01:23.608000,24.0,HARD,2.0,83.608
VER,Red Bull Racing,48.0,0 days 00:01:23.487000,25.0,HARD,2.0,83.487
VER,Red Bull Racing,49.0,0 days 00:01:23.822000,26.0,HARD,2.0,83.822
VER,Red Bull Racing,50.0,0 days 00:01:23.782000,27.0,HARD,2.0,83.782
VER,Red Bull Racing,51.0,0 days 00:01:26.210000,28.0,HARD,2.0,86.21
VER,Red Bull Racing,53.0,0 days 00:01:20.504000,5.0,MEDIUM,3.0,80.504
VER,Red Bull Racing,54.0,0 days 00:01:23.935000,6.0,MEDIUM,3.0,83.935
VER,Red Bull Racing,55.0,0 days 00:01:22.847000,7.0,MEDIUM,3.0,82.847
VER,Red Bull Racing,56.0,0 days 00:01:22.600000,8.0,MEDIUM,3.0,82.6
VER,Red Bull Racing,57.0,0 days 00:01:22.425000,9.0,MEDIUM,3.0,82.425
VER,Red Bull Racing,58.0,0 days 00:01:22.650000,10.0,MEDIUM,3.0,82.65
VER,Red Bull Racing,59.0,0 days 00:01:21.880000,11.0,MEDIUM,3.0,81.88
VER,Red Bull Racing,60.0,0 days 00:01:21.554000,12.0,MEDIUM,3.0,81.554
VER,Red Bull Racing,61.0,0 days 00:01:21.520000,13.0,MEDIUM,3.0,81.52
VER,Red Bull Racing,62.0,0 days 00:01:21.693000,14.0,MEDIUM,3.0,81.693
VER,Red Bull Racing,63.0,0 days 00:01:21.772000,15.0,MEDIUM,3.0,81.772
