Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:27.905000,1.0,MEDIUM,1.0,87.905
VER,Red Bull Racing,2.0,0 days 00:01:26.163000,2.0,MEDIUM,1.0,86.163
VER,Red Bull Racing,3.0,0 days 00:01:25.702000,3.0,MEDIUM,1.0,85.702
VER,Red Bull Racing,4.0,0 days 00:01:26.050000,4.0,MEDIUM,1.0,86.05
VER,Red Bull Racing,5.0,0 days 00:01:26.176000,5.0,MEDIUM,1.0,86.176
VER,Red Bull Racing,6.0,0 days 00:01:26.837000,6.0,MEDIUM,1.0,86.837
VER,Red Bull Racing,7.0,0 days 00:01:26.368000,7.0,MEDIUM,1.0,86.368
VER,Red Bull Racing,8.0,0 days 00:01:25.990000,8.0,MEDIUM,1.0,85.99
VER,Red Bull Racing,9.0,0 days 00:01:26.605000,9.0,MEDIUM,1.0,86.605
VER,Red Bull Racing,10.0,0 days 00:01:26.603000,10.0,MEDIUM,1.0,86.603
VER,Red Bull Racing,11.0,0 days 00:01:26.643000,11.0,MEDIUM,1.0,86.643
VER,Red Bull Racing,12.0,0 days 00:01:26.442000,12.0,MEDIUM,1.0,86.442
VER,Red Bull Racing,13.0,0 days 00:01:26.666000,13.0,MEDIUM,1.0,86.666
VER,Red Bull Racing,14.0,0 days 00:01:27.028000,14.0,MEDIUM,1.0,87.028
VER,Red Bull Racing,15.0,0 days 00:01:26.782000,15.0,MEDIUM,1.0,86.782
VER,Red Bull Racing,16.0,0 days 00:01:26.718000,16.0,MEDIUM,1.0,86.718
VER,Red Bull Racing,17.0,0 days 00:01:26.733000,17.0,MEDIUM,1.0,86.733
VER,Red Bull Racing,18.0,0 days 00:01:26.273000,18.0,MEDIUM,1.0,86.273
VER,Red Bull Racing,19.0,0 days 00:01:26.438000,19.0,MEDIUM,1.0,86.438
VER,Red Bull Racing,20.0,0 days 00:01:30.849000,20.0,MEDIUM,1.0,90.849
VER,Red Bull Racing,22.0,0 days 00:01:25.885000,2.0,HARD,2.0,85.885
VER,Red Bull Racing,23.0,0 days 00:01:26.159000,3.0,HARD,2.0,86.159
VER,Red Bull Racing,24.0,0 days 00:01:26.327000,4.0,HARD,2.0,86.327
VER,Red Bull Racing,25.0,0 days 00:01:25.914000,5.0,HARD,2.0,85.914
VER,Red Bull Racing,26.0,0 days 00:01:25.786000,6.0,HARD,2.0,85.786
VER,Red Bull Racing,27.0,0 days 00:01:25.501000,7.0,HARD,2.0,85.501
VER,Red Bull Racing,28.0,0 days 00:01:25.434000,8.0,HARD,2.0,85.434
VER,Red Bull Racing,29.0,0 days 00:01:25.471000,9.0,HARD,2.0,85.471
VER,Red Bull Racing,30.0,0 days 00:01:25.398000,10.0,HARD,2.0,85.398
VER,Red Bull Racing,31.0,0 days 00:01:25.502000,11.0,HARD,2.0,85.502
VER,Red Bull Racing,32.0,0 days 00:01:25.410000,12.0,HARD,2.0,85.41
VER,Red Bull Racing,33.0,0 days 00:01:25.240000,13.0,HARD,2.0,85.24
VER,Red Bull Racing,34.0,0 days 00:01:25.683000,14.0,HARD,2.0,85.683
