Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,5.0,0 days 00:01:36.748000,5.0,MEDIUM,1.0,96.748
VER,Red Bull Racing,6.0,0 days 00:01:37.837000,6.0,MEDIUM,1.0,97.837
VER,Red Bull Racing,7.0,0 days 00:01:38.033000,7.0,MEDIUM,1.0,98.033
VER,Red Bull Racing,8.0,0 days 00:01:38.148000,8.0,MEDIUM,1.0,98.148
VER,Red Bull Racing,9.0,0 days 00:01:38.241000,9.0,MEDIUM,1.0,98.241
VER,Red Bull Racing,10.0,0 days 00:01:38.301000,10.0,MEDIUM,1.0,98.301
VER,Red Bull Racing,11.0,0 days 00:01:38.519000,11.0,MEDIUM,1.0,98.519
VER,Red Bull Racing,12.0,0 days 00:01:38.651000,12.0,MEDIUM,1.0,98.651
VER,Red Bull Racing,13.0,0 days 00:01:38.689000,13.0,MEDIUM,1.0,98.689
VER,Red Bull Racing,15.0,0 days 00:01:38.373000,15.0,MEDIUM,1.0,98.373
VER,Red Bull Racing,16.0,0 days 00:01:41.172000,16.0,MEDIUM,1.0,101.172
VER,Red Bull Racing,18.0,0 days 00:01:37.399000,2.0,MEDIUM,2.0,97.399
VER,Red Bull Racing,19.0,0 days 00:01:37.769000,3.0,MEDIUM,2.0,97.769
VER,Red Bull Racing,20.0,0 days 00:01:37.344000,4.0,MEDIUM,2.0,97.344
VER,Red Bull Racing,21.0,0 days 00:01:37.565000,5.0,MEDIUM,2.0,97.565
VER,Red Bull Racing,22.0,0 days 00:01:37.592000,6.0,MEDIUM,2.0,97.592
VER,Red Bull Racing,23.0,0 days 00:01:37.722000,7.0,MEDIUM,2.0,97.722
VER,Red Bull Racing,24.0,0 days 00:01:37.714000,8.0,MEDIUM,2.0,97.714
VER,Red Bull Racing,25.0,0 days 00:01:37.946000,9.0,MEDIUM,2.0,97.946
VER,Red Bull Racing,26.0,0 days 00:01:37.903000,10.0,MEDIUM,2.0,97.903
VER,Red Bull Racing,27.0,0 days 00:01:37.865000,11.0,MEDIUM,2.0,97.865
VER,Red Bull Racing,28.0,0 days 00:01:37.558000,12.0,MEDIUM,2.0,97.558
VER,Red Bull Racing,29.0,0 days 00:01:37.424000,13.0,MEDIUM,2.0,97.424
VER,Red Bull Racing,30.0,0 days 00:01:37.599000,14.0,MEDIUM,2.0,97.599
VER,Red Bull Racing,31.0,0 days 00:01:37.599000,15.0,MEDIUM,2.0,97.599
VER,Red Bull Racing,32.0,0 days 00:01:37.920000,16.0,MEDIUM,2.0,97.92
VER,Red Bull Racing,33.0,0 days 00:01:37.655000,17.0,MEDIUM,2.0,97.655
VER,Red Bull Racing,34.0,0 days 00:01:37.733000,18.0,MEDIUM,2.0,97.733
VER,Red Bull Racing,35.0,0 days 00:01:37.788000,19.0,MEDIUM,2.0,97.788
VER,Red Bull Racing,36.0,0 days 00:01:37.820000,20.0,MEDIUM,2.0,97.82
VER,Red Bull Racing,37.0,0 days 00:01:40.264000,21.0,MEDIUM,2.0,100.264
VER,Red Bull Racing,39.0,0 days 00:01:34.183000,2.0,HARD,3.0,94.183
VER,Red Bull Racing,40.0,0 days 00:01:35.914000,3.0,HARD,3.0,95.914
VER,Red Bull Racing,41.0,0 days 00:01:35.433000,4.0,HARD,3.0,95.433
VER,Red Bull Racing,42.0,0 days 00:01:35.248000,5.0,HARD,3.0,95.248
VER,Red Bull Racing,43.0,0 days 00:01:35.969000,6.0,HARD,3.0,95.969
VER,Red Bull Racing,44.0,0 days 00:01:35.462000,7.0,HARD,3.0,95.462
VER,Red Bull Racing,45.0,0 days 00:01:35.915000,8.0,HARD,3.0,95.915
VER,Red Bull Racing,46.0,0 days 00:01:35.983000,9.0,HARD,3.0,95.983
VER,Red Bull Racing,47.0,0 days 00:01:36.220000,10.0,HARD,3.0,96.22
VER,Red Bull Racing,48.0,0 days 00:01:36.198000,11.0,HARD,3.0,96.198
VER,Red Bull Racing,49.0,0 days 00:01:36.689000,12.0,HARD,3.0,96.689
VER,Red Bull Racing,50.0,0 days 00:01:36.877000,13.0,HARD,3.0,96.877
VER,Red Bull Racing,51.0,0 days 00:01:36.640000,14.0,HARD,3.0,96.64
VER,Red Bull Racing,52.0,0 days 00:01:37.050000,15.0,HARD,3.0,97.05
VER,Red Bull Racing,53.0,0 days 00:01:36.300000,16.0,HARD,3.0,96.3
NOR,McLaren,5.0,0 days 00:01:37.660000,5.0,MEDIUM,1.0,97.66
NOR,McLaren,6.0,0 days 00:01:38.158000,6.0,MEDIUM,1.0,98.158
NOR,McLaren,7.0,0 days 00:01:38.394000,7.0,MEDIUM,1.0,98.394
NOR,McLaren,8.0,0 days 00:01:38.506000,8.0,MEDIUM,1.0,98.506
NOR,McLaren,9.0,0 days 00:01:38.578000,9.0,MEDIUM,1.0,98.578
NOR,McLaren,10.0,0 days 00:01:39.012000,10.0,MEDIUM,1.0,99.012
NOR,McLaren,11.0,0 days 00:01:39.069000,11.0,MEDIUM,1.0,99.069
NOR,McLaren,12.0,0 days 00:01:39.213000,12.0,MEDIUM,1.0,99.213
NOR,McLaren,13.0,0 days 00:01:39.156000,13.0,MEDIUM,1.0,99.156
NOR,McLaren,15.0,0 days 00:01:39.107000,15.0,MEDIUM,1.0,99.107
NOR,McLaren,16.0,0 days 00:01:39.226000,16.0,MEDIUM,1.0,99.226
NOR,McLaren,17.0,0 days 00:01:41.240000,17.0,MEDIUM,1.0,101.24
NOR,McLaren,19.0,0 days 00:01:36.689000,2.0,HARD,2.0,96.689
NOR,McLaren,20.0,0 days 00:01:37.776000,3.0,HARD,2.0,97.776
NOR,McLaren,21.0,0 days 00:01:37.553000,4.0,HARD,2.0,97.553
NOR,McLaren,22.0,0 days 00:01:37.646000,5.0,HARD,2.0,97.646
NOR,McLaren,23.0,0 days 00:01:38.064000,6.0,HARD,2.0,98.064
NOR,McLaren,24.0,0 days 00:01:38.137000,7.0,HARD,2.0,98.137
NOR,McLaren,25.0,0 days 00:01:38.372000,8.0,HARD,2.0,98.372
NOR,McLaren,26.0,0 days 00:01:38.793000,9.0,HARD,2.0,98.793
NOR,McLaren,27.0,0 days 00:01:37.402000,10.0,HARD,2.0,97.402
NOR,McLaren,28.0,0 days 00:01:38.019000,11.0,HARD,2.0,98.019
NOR,McLaren,29.0,0 days 00:01:37.757000,12.0,HARD,2.0,97.757
NOR,McLaren,30.0,0 days 00:01:38.037000,13.0,HARD,2.0,98.037
NOR,McLaren,31.0,0 days 00:01:37.700000,14.0,HARD,2.0,97.7
NOR,McLaren,32.0,0 days 00:01:38.445000,15.0,HARD,2.0,98.445
NOR,McLaren,33.0,0 days 00:01:37.952000,16.0,HARD,2.0,97.952
NOR,McLaren,34.0,0 days 00:01:38.003000,17.0,HARD,2.0,98.003
NOR,McLaren,35.0,0 days 00:01:37.860000,18.0,HARD,2.0,97.86
NOR,McLaren,36.0,0 days 00:01:40.106000,19.0,HARD,2.0,100.106
NOR,McLaren,38.0,0 days 00:01:36.003000,2.0,HARD,3.0,96.003
NOR,McLaren,39.0,0 days 00:01:35.972000,3.0,HARD,3.0,95.972
NOR,McLaren,40.0,0 days 00:01:35.247000,4.0,HARD,3.0,95.247
NOR,McLaren,41.0,0 days 00:01:35.823000,5.0,HARD,3.0,95.823
NOR,McLaren,42.0,0 days 00:01:35.844000,6.0,HARD,3.0,95.844
NOR,McLaren,43.0,0 days 00:01:36.052000,7.0,HARD,3.0,96.052
NOR,McLaren,44.0,0 days 00:01:36.059000,8.0,HARD,3.0,96.059
NOR,McLaren,45.0,0 days 00:01:36.078000,9.0,HARD,3.0,96.078
NOR,McLaren,46.0,0 days 00:01:36.378000,10.0,HARD,3.0,96.378
NOR,McLaren,47.0,0 days 00:01:36.411000,11.0,HARD,3.0,96.411
NOR,McLaren,48.0,0 days 00:01:36.587000,12.0,HARD,3.0,96.587
NOR,McLaren,49.0,0 days 00:01:37.728000,13.0,HARD,3.0,97.728
NOR,McLaren,50.0,0 days 00:01:36.942000,14.0,HARD,3.0,96.942
NOR,McLaren,51.0,0 days 00:01:36.741000,15.0,HARD,3.0,96.741
NOR,McLaren,52.0,0 days 00:01:36.710000,16.0,HARD,3.0,96.71
NOR,McLaren,53.0,0 days 00:01:36.755000,17.0,HARD,3.0,96.755
PIA,McLaren,5.0,0 days 00:01:38.676000,5.0,MEDIUM,1.0,98.676
PIA,McLaren,6.0,0 days 00:01:38.820000,6.0,MEDIUM,1.0,98.82
PIA,McLaren,7.0,0 days 00:01:38.787000,7.0,MEDIUM,1.0,98.787
PIA,McLaren,8.0,0 days 00:01:38.876000,8.0,MEDIUM,1.0,98.876
