Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:45.670000,1.0,MEDIUM,1.0,105.67
VER,Red Bull Racing,7.0,0 days 00:01:40.785000,7.0,MEDIUM,1.0,100.785
VER,Red Bull Racing,8.0,0 days 00:01:40.142000,8.0,MEDIUM,1.0,100.142
VER,Red Bull Racing,9.0,0 days 00:01:39.669000,9.0,MEDIUM,1.0,99.669
VER,Red Bull Racing,10.0,0 days 00:01:39.484000,10.0,MEDIUM,1.0,99.484
VER,Red Bull Racing,11.0,0 days 00:01:38.763000,11.0,MEDIUM,1.0,98.763
VER,Red Bull Racing,12.0,0 days 00:01:38.773000,12.0,MEDIUM,1.0,98.773
VER,Red Bull Racing,13.0,0 days 00:01:38.759000,13.0,MEDIUM,1.0,98.759
VER,Red Bull Racing,14.0,0 days 00:01:38.942000,14.0,MEDIUM,1.0,98.942
VER,Red Bull Racing,15.0,0 days 00:01:39.477000,15.0,MEDIUM,1.0,99.477
VER,Red Bull Racing,16.0,0 days 00:01:44.727000,16.0,MEDIUM,1.0,104.727
VER,Red Bull Racing,18.0,0 days 00:01:38.348000,2.0,HARD,2.0,98.348
VER,Red Bull Racing,19.0,0 days 00:01:38.335000,3.0,HARD,2.0,98.335
VER,Red Bull Racing,20.0,0 days 00:01:39.611000,4.0,HARD,2.0,99.611
VER,Red Bull Racing,21.0,0 days 00:01:37.880000,5.0,HARD,2.0,97.88
VER,Red Bull Racing,22.0,0 days 00:01:38.605000,6.0,HARD,2.0,98.605
VER,Red Bull Racing,23.0,0 days 00:01:37.988000,7.0,HARD,2.0,97.988
VER,Red Bull Racing,24.0,0 days 00:01:38.482000,8.0,HARD,2.0,98.482
VER,Red Bull Racing,25.0,0 days 00:01:38.943000,9.0,HARD,2.0,98.943
VER,Red Bull Racing,29.0,0 days 00:01:40.938000,3.0,HARD,3.0,100.938
VER,Red Bull Racing,30.0,0 days 00:01:38.469000,4.0,HARD,3.0,98.469
VER,Red Bull Racing,31.0,0 days 00:01:37.748000,5.0,HARD,3.0,97.748
VER,Red Bull Racing,32.0,0 days 00:01:36.603000,6.0,HARD,3.0,96.603
VER,Red Bull Racing,33.0,0 days 00:01:36.596000,7.0,HARD,3.0,96.596
VER,Red Bull Racing,34.0,0 days 00:01:36.359000,8.0,HARD,3.0,96.359
VER,Red Bull Racing,35.0,0 days 00:01:36.239000,9.0,HARD,3.0,96.239
VER,Red Bull Racing,36.0,0 days 00:01:36.276000,10.0,HARD,3.0,96.276
VER,Red Bull Racing,37.0,0 days 00:01:36.660000,11.0,HARD,3.0,96.66
VER,Red Bull Racing,38.0,0 days 00:01:36.100000,12.0,HARD,3.0,96.1
VER,Red Bull Racing,39.0,0 days 00:01:35.938000,13.0,HARD,3.0,95.938
VER,Red Bull Racing,40.0,0 days 00:01:35.997000,14.0,HARD,3.0,95.997
VER,Red Bull Racing,41.0,0 days 00:01:35.920000,15.0,HARD,3.0,95.92
VER,Red Bull Racing,42.0,0 days 00:01:36.212000,16.0,HARD,3.0,96.212
VER,Red Bull Racing,43.0,0 days 00:01:35.983000,17.0,HARD,3.0,95.983
VER,Red Bull Racing,44.0,0 days 00:01:35.614000,18.0,HARD,3.0,95.614
VER,Red Bull Racing,45.0,0 days 00:01:35.867000,19.0,HARD,3.0,95.867
VER,Red Bull Racing,46.0,0 days 00:01:35.896000,20.0,HARD,3.0,95.896
VER,Red Bull Racing,47.0,0 days 00:01:35.879000,21.0,HARD,3.0,95.879
VER,Red Bull Racing,48.0,0 days 00:01:36.497000,22.0,HARD,3.0,96.497
VER,Red Bull Racing,49.0,0 days 00:01:36.950000,23.0,HARD,3.0,96.95
VER,Red Bull Racing,50.0,0 days 00:01:37.637000,24.0,HARD,3.0,97.637
GAS,Alpine,7.0,0 days 00:01:42.346000,7.0,MEDIUM,1.0,102.346
GAS,Alpine,8.0,0 days 00:01:40.560000,8.0,MEDIUM,1.0,100.56
GAS,Alpine,9.0,0 days 00:01:39.677000,9.0,MEDIUM,1.0,99.677
GAS,Alpine,10.0,0 days 00:01:39.005000,10.0,MEDIUM,1.0,99.005
GAS,Alpine,11.0,0 days 00:01:39.446000,11.0,MEDIUM,1.0,99.446
GAS,Alpine,12.0,0 days 00:01:39.088000,12.0,MEDIUM,1.0,99.088
GAS,Alpine,13.0,0 days 00:01:39.410000,13.0,MEDIUM,1.0,99.41
GAS,Alpine,14.0,0 days 00:01:39.776000,14.0,MEDIUM,1.0,99.776
GAS,Alpine,15.0,0 days 00:01:40.333000,15.0,MEDIUM,1.0,100.333
GAS,Alpine,16.0,0 days 00:01:40.814000,16.0,MEDIUM,1.0,100.814
GAS,Alpine,17.0,0 days 00:01:45.772000,17.0,MEDIUM,1.0,105.772
GAS,Alpine,19.0,0 days 00:01:39.315000,2.0,HARD,2.0,99.315
GAS,Alpine,20.0,0 days 00:01:39.218000,3.0,HARD,2.0,99.218
GAS,Alpine,21.0,0 days 00:01:38.774000,4.0,HARD,2.0,98.774
GAS,Alpine,22.0,0 days 00:01:38.683000,5.0,HARD,2.0,98.683
GAS,Alpine,23.0,0 days 00:01:38.585000,6.0,HARD,2.0,98.585
GAS,Alpine,24.0,0 days 00:01:39.209000,7.0,HARD,2.0,99.209
GAS,Alpine,25.0,0 days 00:01:38.494000,8.0,HARD,2.0,98.494
GAS,Alpine,29.0,0 days 00:01:41.251000,12.0,HARD,2.0,101.251
GAS,Alpine,30.0,0 days 00:01:38.720000,13.0,HARD,2.0,98.72
GAS,Alpine,31.0,0 days 00:01:38.772000,14.0,HARD,2.0,98.772
GAS,Alpine,32.0,0 days 00:01:37.736000,15.0,HARD,2.0,97.736
GAS,Alpine,33.0,0 days 00:01:37.805000,16.0,HARD,2.0,97.805
GAS,Alpine,34.0,0 days 00:01:38.586000,17.0,HARD,2.0,98.586
GAS,Alpine,35.0,0 days 00:01:37.528000,18.0,HARD,2.0,97.528
GAS,Alpine,36.0,0 days 00:01:37.126000,19.0,HARD,2.0,97.126
GAS,Alpine,37.0,0 days 00:01:36.913000,20.0,HARD,2.0,96.913
GAS,Alpine,38.0,0 days 00:01:37.004000,21.0,HARD,2.0,97.004
GAS,Alpine,39.0,0 days 00:01:37.603000,22.0,HARD,2.0,97.603
GAS,Alpine,40.0,0 days 00:01:37.789000,23.0,HARD,2.0,97.789
GAS,Alpine,41.0,0 days 00:01:38.760000,24.0,HARD,2.0,98.76
GAS,Alpine,42.0,0 days 00:01:38.094000,25.0,HARD,2.0,98.094
GAS,Alpine,43.0,0 days 00:01:38.666000,26.0,HARD,2.0,98.666
GAS,Alpine,44.0,0 days 00:01:39.943000,27.0,HARD,2.0,99.943
GAS,Alpine,45.0,0 days 00:01:38.829000,28.0,HARD,2.0,98.829
GAS,Alpine,46.0,0 days 00:01:38.079000,29.0,HARD,2.0,98.079
GAS,Alpine,47.0,0 days 00:01:37.907000,30.0,HARD,2.0,97.907
GAS,Alpine,48.0,0 days 00:01:38.217000,31.0,HARD,2.0,98.217
GAS,Alpine,49.0,0 days 00:01:37.952000,32.0,HARD,2.0,97.952
GAS,Alpine,50.0,0 days 00:01:38.316000,33.0,HARD,2.0,98.316
PER,Red Bull Racing,7.0,0 days 00:01:44.233000,6.0,HARD,2.0,104.233
PER,Red Bull Racing,8.0,0 days 00:01:41.395000,7.0,HARD,2.0,101.395
PER,Red Bull Racing,9.0,0 days 00:01:40.012000,8.0,HARD,2.0,100.012
PER,Red Bull Racing,10.0,0 days 00:01:41.988000,9.0,HARD,2.0,101.988
PER,Red Bull Racing,11.0,0 days 00:01:39.311000,10.0,HARD,2.0,99.311
PER,Red Bull Racing,12.0,0 days 00:01:39.174000,11.0,HARD,2.0,99.174
