Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:25.653000,1.0,MEDIUM,1.0,85.653
VER,Red Bull Racing,2.0,0 days 00:01:23.859000,2.0,MEDIUM,1.0,83.859
VER,Red Bull Racing,3.0,0 days 00:01:23.573000,3.0,MEDIUM,1.0,83.573
VER,Red Bull Racing,4.0,0 days 00:01:23.708000,4.0,MEDIUM,1.0,83.708
VER,Red Bull Racing,6.0,0 days 00:01:23.339000,6.0,MEDIUM,1.0,83.339
VER,Red Bull Racing,7.0,0 days 00:01:23.453000,7.0,MEDIUM,1.0,83.453
VER,Red Bull Racing,8.0,0 days 00:01:23.357000,8.0,MEDIUM,1.0,83.357
VER,Red Bull Racing,9.0,0 days 00:01:23.218000,9.0,MEDIUM,1.0,83.218
VER,Red Bull Racing,10.0,0 days 00:01:23.276000,10.0,MEDIUM,1.0,83.276
VER,Red Bull Racing,11.0,0 days 00:01:23.626000,11.0,MEDIUM,1.0,83.626
VER,Red Bull Racing,12.0,0 days 00:01:23.644000,12.0,MEDIUM,1.0,83.644
VER,Red Bull Racing,13.0,0 days 00:01:23.792000,13.0,MEDIUM,1.0,83.792
VER,Red Bull Racing,14.0,0 days 00:01:23.695000,14.0,MEDIUM,1.0,83.695
VER,Red Bull Racing,15.0,0 days 00:01:23.714000,15.0,MEDIUM,1.0,83.714
VER,Red Bull Racing,16.0,0 days 00:01:23.585000,16.0,MEDIUM,1.0,83.585
VER,Red Bull Racing,17.0,0 days 00:01:23.644000,17.0,MEDIUM,1.0,83.644
VER,Red Bull Racing,18.0,0 days 00:01:23.927000,18.0,MEDIUM,1.0,83.927
VER,Red Bull Racing,19.0,0 days 00:01:26.825000,19.0,MEDIUM,1.0,86.825
VER,Red Bull Racing,21.0,0 days 00:01:22.643000,2.0,HARD,2.0,82.643
VER,Red Bull Racing,22.0,0 days 00:01:22.622000,3.0,HARD,2.0,82.622
VER,Red Bull Racing,23.0,0 days 00:01:22.781000,4.0,HARD,2.0,82.781
VER,Red Bull Racing,24.0,0 days 00:01:23.762000,5.0,HARD,2.0,83.762
VER,Red Bull Racing,25.0,0 days 00:01:22.354000,6.0,HARD,2.0,82.354
VER,Red Bull Racing,26.0,0 days 00:01:22.972000,7.0,HARD,2.0,82.972
VER,Red Bull Racing,27.0,0 days 00:01:23.023000,8.0,HARD,2.0,83.023
VER,Red Bull Racing,28.0,0 days 00:01:23.162000,9.0,HARD,2.0,83.162
VER,Red Bull Racing,29.0,0 days 00:01:22.224000,10.0,HARD,2.0,82.224
VER,Red Bull Racing,30.0,0 days 00:01:22.904000,11.0,HARD,2.0,82.904
VER,Red Bull Racing,31.0,0 days 00:01:23.436000,12.0,HARD,2.0,83.436
VER,Red Bull Racing,32.0,0 days 00:01:23.204000,13.0,HARD,2.0,83.204
VER,Red Bull Racing,37.0,0 days 00:01:22.471000,4.0,HARD,4.0,82.471
VER,Red Bull Racing,38.0,0 days 00:01:22.185000,5.0,HARD,4.0,82.185
VER,Red Bull Racing,39.0,0 days 00:01:22.059000,6.0,HARD,4.0,82.059
VER,Red Bull Racing,40.0,0 days 00:01:21.644000,7.0,HARD,4.0,81.644
VER,Red Bull Racing,41.0,0 days 00:01:21.787000,8.0,HARD,4.0,81.787
VER,Red Bull Racing,42.0,0 days 00:01:21.986000,9.0,HARD,4.0,81.986
VER,Red Bull Racing,43.0,0 days 00:01:22.041000,10.0,HARD,4.0,82.041
VER,Red Bull Racing,44.0,0 days 00:01:22.068000,11.0,HARD,4.0,82.068
VER,Red Bull Racing,45.0,0 days 00:01:22.129000,12.0,HARD,4.0,82.129
VER,Red Bull Racing,46.0,0 days 00:01:22.105000,13.0,HARD,4.0,82.105
VER,Red Bull Racing,47.0,0 days 00:01:22.060000,14.0,HARD,4.0,82.06
VER,Red Bull Racing,48.0,0 days 00:01:22.179000,15.0,HARD,4.0,82.179
VER,Red Bull Racing,49.0,0 days 00:01:22.172000,16.0,HARD,4.0,82.172
VER,Red Bull Racing,50.0,0 days 00:01:22.294000,17.0,HARD,4.0,82.294
VER,Red Bull Racing,51.0,0 days 00:01:22.323000,18.0,HARD,4.0,82.323
VER,Red Bull Racing,52.0,0 days 00:01:22.336000,19.0,HARD,4.0,82.336
VER,Red Bull Racing,53.0,0 days 00:01:22.286000,20.0,HARD,4.0,82.286
VER,Red Bull Racing,54.0,0 days 00:01:22.418000,21.0,HARD,4.0,82.418
VER,Red Bull Racing,55.0,0 days 00:01:22.421000,22.0,HARD,4.0,82.421
VER,Red Bull Racing,56.0,0 days 00:01:22.415000,23.0,HARD,4.0,82.415
VER,Red Bull Racing,57.0,0 days 00:01:22.230000,24.0,HARD,4.0,82.23
VER,Red Bull Racing,58.0,0 days 00:01:22.370000,25.0,HARD,4.0,82.37
VER,Red Bull Racing,59.0,0 days 00:01:22.208000,26.0,HARD,4.0,82.208
VER,Red Bull Racing,60.0,0 days 00:01:21.991000,27.0,HARD,4.0,81.991
VER,Red Bull Racing,61.0,0 days 00:01:22.100000,28.0,HARD,4.0,82.1
VER,Red Bull Racing,62.0,0 days 00:01:22.196000,29.0,HARD,4.0,82.196
VER,Red Bull Racing,63.0,0 days 00:01:22.245000,30.0,HARD,4.0,82.245
VER,Red Bull Racing,64.0,0 days 00:01:22.200000,31.0,HARD,4.0,82.2
VER,Red Bull Racing,65.0,0 days 00:01:22.377000,32.0,HARD,4.0,82.377
VER,Red Bull Racing,66.0,0 days 00:01:22.110000,33.0,HARD,4.0,82.11
VER,Red Bull Racing,67.0,0 days 00:01:22.774000,34.0,HARD,4.0,82.774
VER,Red Bull Racing,68.0,0 days 00:01:22.430000,35.0,HARD,4.0,82.43
VER,Red Bull Racing,69.0,0 days 00:01:22.470000,36.0,HARD,4.0,82.47
VER,Red Bull Racing,70.0,0 days 00:01:22.367000,37.0,HARD,4.0,82.367
VER,Red Bull Racing,71.0,0 days 00:01:22.850000,38.0,HARD,4.0,82.85
GAS,Alpine,2.0,0 days 00:01:25.443000,2.0,MEDIUM,1.0,85.443
GAS,Alpine,3.0,0 days 00:01:24.804000,3.0,MEDIUM,1.0,84.804
GAS,Alpine,4.0,0 days 00:01:24.249000,4.0,MEDIUM,1.0,84.249
GAS,Alpine,6.0,0 days 00:01:23.989000,6.0,MEDIUM,1.0,83.989
GAS,Alpine,7.0,0 days 00:01:24.292000,7.0,MEDIUM,1.0,84.292
GAS,Alpine,8.0,0 days 00:01:24.829000,8.0,MEDIUM,1.0,84.829
GAS,Alpine,9.0,0 days 00:01:24.958000,9.0,MEDIUM,1.0,84.958
GAS,Alpine,10.0,0 days 00:01:24.880000,10.0,MEDIUM,1.0,84.88
GAS,Alpine,11.0,0 days 00:01:24.900000,11.0,MEDIUM,1.0,84.9
