Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,2.0,0 days 00:01:34.260000,2.0,HARD,1.0,94.26
VER,Red Bull Racing,3.0,0 days 00:01:34.127000,3.0,HARD,1.0,94.127
VER,Red Bull Racing,4.0,0 days 00:01:32.935000,4.0,HARD,1.0,92.935
VER,Red Bull Racing,5.0,0 days 00:01:32.875000,5.0,HARD,1.0,92.875
VER,Red Bull Racing,6.0,0 days 00:01:32.753000,6.0,HARD,1.0,92.753
VER,Red Bull Racing,7.0,0 days 00:01:32.555000,7.0,HARD,1.0,92.555
VER,Red Bull Racing,8.0,0 days 00:01:32.947000,8.0,HARD,1.0,92.947
VER,Red Bull Racing,9.0,0 days 00:01:32.988000,9.0,HARD,1.0,92.988
VER,Red Bull Racing,10.0,0 days 00:01:32.740000,10.0,HARD,1.0,92.74
VER,Red Bull Racing,11.0,0 days 00:01:32.251000,11.0,HARD,1.0,92.251
VER,Red Bull Racing,12.0,0 days 00:01:32.304000,12.0,HARD,1.0,92.304
VER,Red Bull Racing,13.0,0 days 00:01:31.736000,13.0,HARD,1.0,91.736
VER,Red Bull Racing,14.0,0 days 00:01:32.193000,14.0,HARD,1.0,92.193
VER,Red Bull Racing,15.0,0 days 00:01:32.433000,15.0,HARD,1.0,92.433
VER,Red Bull Racing,16.0,0 days 00:01:32.333000,16.0,HARD,1.0,92.333
VER,Red Bull Racing,17.0,0 days 00:01:32.455000,17.0,HARD,1.0,92.455
VER,Red Bull Racing,18.0,0 days 00:01:32.124000,18.0,HARD,1.0,92.124
VER,Red Bull Racing,19.0,0 days 00:01:32.073000,19.0,HARD,1.0,92.073
VER,Red Bull Racing,20.0,0 days 00:01:32.203000,20.0,HARD,1.0,92.203
VER,Red Bull Racing,21.0,0 days 00:01:32.351000,21.0,HARD,1.0,92.351
VER,Red Bull Racing,22.0,0 days 00:01:32.267000,22.0,HARD,1.0,92.267
VER,Red Bull Racing,23.0,0 days 00:01:31.906000,23.0,HARD,1.0,91.906
VER,Red Bull Racing,24.0,0 days 00:01:32.126000,24.0,HARD,1.0,92.126
VER,Red Bull Racing,25.0,0 days 00:01:31.919000,25.0,HARD,1.0,91.919
VER,Red Bull Racing,26.0,0 days 00:01:31.922000,26.0,HARD,1.0,91.922
VER,Red Bull Racing,27.0,0 days 00:01:31.829000,27.0,HARD,1.0,91.829
VER,Red Bull Racing,28.0,0 days 00:01:31.776000,28.0,HARD,1.0,91.776
VER,Red Bull Racing,29.0,0 days 00:01:31.820000,29.0,HARD,1.0,91.82
VER,Red Bull Racing,30.0,0 days 00:01:32.484000,30.0,HARD,1.0,92.484
VER,Red Bull Racing,31.0,0 days 00:01:31.627000,31.0,HARD,1.0,91.627
VER,Red Bull Racing,32.0,0 days 00:01:31.293000,32.0,HARD,1.0,91.293
VER,Red Bull Racing,33.0,0 days 00:01:31.481000,33.0,HARD,1.0,91.481
VER,Red Bull Racing,34.0,0 days 00:01:31.430000,34.0,HARD,1.0,91.43
VER,Red Bull Racing,35.0,0 days 00:01:31.225000,35.0,HARD,1.0,91.225
VER,Red Bull Racing,36.0,0 days 00:01:31.384000,36.0,HARD,1.0,91.384
VER,Red Bull Racing,37.0,0 days 00:01:31.268000,37.0,HARD,1.0,91.268
VER,Red Bull Racing,38.0,0 days 00:01:31.199000,38.0,HARD,1.0,91.199
VER,Red Bull Racing,39.0,0 days 00:01:31.444000,39.0,HARD,1.0,91.444
VER,Red Bull Racing,40.0,0 days 00:01:31.288000,40.0,HARD,1.0,91.288
