Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:24.238000,1.0,MEDIUM,1.0,84.238
VER,Red Bull Racing,2.0,0 days 00:01:19.367000,2.0,MEDIUM,1.0,79.367
VER,Red Bull Racing,3.0,0 days 00:01:19.074000,3.0,MEDIUM,1.0,79.074
VER,Red Bull Racing,4.0,0 days 00:01:18.129000,4.0,MEDIUM,1.0,78.129
VER,Red Bull Racing,5.0,0 days 00:01:18.019000,5.0,MEDIUM,1.0,78.019
VER,Red Bull Racing,6.0,0 days 00:01:17.640000,6.0,MEDIUM,1.0,77.64
VER,Red Bull Racing,7.0,0 days 00:01:17.633000,7.0,MEDIUM,1.0,77.633
VER,Red Bull Racing,8.0,0 days 00:01:17.397000,8.0,MEDIUM,1.0,77.397
VER,Red Bull Racing,9.0,0 days 00:01:17.031000,9.0,MEDIUM,1.0,77.031
VER,Red Bull Racing,10.0,0 days 00:01:17.084000,10.0,MEDIUM,1.0,77.084
VER,Red Bull Racing,11.0,0 days 00:01:16.858000,11.0,MEDIUM,1.0,76.858
VER,Red Bull Racing,12.0,0 days 00:01:16.993000,12.0,MEDIUM,1.0,76.993
VER,Red Bull Racing,13.0,0 days 00:01:17.434000,13.0,MEDIUM,1.0,77.434
VER,Red Bull Racing,14.0,0 days 00:01:17.065000,14.0,MEDIUM,1.0,77.065
VER,Red Bull Racing,15.0,0 days 00:01:17.079000,15.0,MEDIUM,1.0,77.079
VER,Red Bull Racing,16.0,0 days 00:01:16.824000,16.0,MEDIUM,1.0,76.824
VER,Red Bull Racing,17.0,0 days 00:01:16.860000,17.0,MEDIUM,1.0,76.86
VER,Red Bull Racing,18.0,0 days 00:01:16.712000,18.0,MEDIUM,1.0,76.712
VER,Red Bull Racing,19.0,0 days 00:01:16.823000,19.0,MEDIUM,1.0,76.823
VER,Red Bull Racing,20.0,0 days 00:01:17.214000,20.0,MEDIUM,1.0,77.214
VER,Red Bull Racing,21.0,0 days 00:01:16.803000,21.0,MEDIUM,1.0,76.803
VER,Red Bull Racing,22.0,0 days 00:01:16.659000,22.0,MEDIUM,1.0,76.659
VER,Red Bull Racing,23.0,0 days 00:01:16.604000,23.0,MEDIUM,1.0,76.604
VER,Red Bull Racing,24.0,0 days 00:01:16.798000,24.0,MEDIUM,1.0,76.798
VER,Red Bull Racing,25.0,0 days 00:01:17.183000,25.0,MEDIUM,1.0,77.183
VER,Red Bull Racing,26.0,0 days 00:01:17.212000,26.0,MEDIUM,1.0,77.212
VER,Red Bull Racing,27.0,0 days 00:01:17.259000,27.0,MEDIUM,1.0,77.259
VER,Red Bull Racing,28.0,0 days 00:01:17.770000,28.0,MEDIUM,1.0,77.77
VER,Red Bull Racing,29.0,0 days 00:01:18.001000,29.0,MEDIUM,1.0,78.001
VER,Red Bull Racing,30.0,0 days 00:01:18.160000,30.0,MEDIUM,1.0,78.16
VER,Red Bull Racing,31.0,0 days 00:01:18.741000,31.0,MEDIUM,1.0,78.741
VER,Red Bull Racing,32.0,0 days 00:01:18.816000,32.0,MEDIUM,1.0,78.816
VER,Red Bull Racing,33.0,0 days 00:01:18.946000,33.0,MEDIUM,1.0,78.946
VER,Red Bull Racing,34.0,0 days 00:01:18.044000,34.0,MEDIUM,1.0,78.044
VER,Red Bull Racing,35.0,0 days 00:01:18.024000,35.0,MEDIUM,1.0,78.024
VER,Red Bull Racing,36.0,0 days 00:01:17.974000,36.0,MEDIUM,1.0,77.974
