Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,6.0,0 days 00:01:22.503000,4.0,INTERMEDIATE,2.0,82.503
VER,Red Bull Racing,7.0,0 days 00:01:22.116000,5.0,INTERMEDIATE,2.0,82.116
VER,Red Bull Racing,13.0,0 days 00:01:18.775000,2.0,SOFT,3.0,78.775
VER,Red Bull Racing,14.0,0 days 00:01:17.550000,3.0,SOFT,3.0,77.55
VER,Red Bull Racing,15.0,0 days 00:01:16.930000,4.0,SOFT,3.0,76.93
VER,Red Bull Racing,22.0,0 days 00:01:16.305000,11.0,SOFT,3.0,76.305
VER,Red Bull Racing,23.0,0 days 00:01:16.085000,12.0,SOFT,3.0,76.085
VER,Red Bull Racing,24.0,0 days 00:01:15.783000,13.0,SOFT,3.0,75.783
VER,Red Bull Racing,25.0,0 days 00:01:15.664000,14.0,SOFT,3.0,75.664
VER,Red Bull Racing,26.0,0 days 00:01:15.659000,15.0,SOFT,3.0,75.659
VER,Red Bull Racing,27.0,0 days 00:01:15.681000,16.0,SOFT,3.0,75.681
VER,Red Bull Racing,28.0,0 days 00:01:15.499000,17.0,SOFT,3.0,75.499
VER,Red Bull Racing,29.0,0 days 00:01:15.374000,18.0,SOFT,3.0,75.374
VER,Red Bull Racing,30.0,0 days 00:01:15.510000,19.0,SOFT,3.0,75.51
VER,Red Bull Racing,31.0,0 days 00:01:15.561000,20.0,SOFT,3.0,75.561
VER,Red Bull Racing,32.0,0 days 00:01:15.414000,21.0,SOFT,3.0,75.414
VER,Red Bull Racing,33.0,0 days 00:01:15.342000,22.0,SOFT,3.0,75.342
VER,Red Bull Racing,34.0,0 days 00:01:15.272000,23.0,SOFT,3.0,75.272
VER,Red Bull Racing,35.0,0 days 00:01:15.275000,24.0,SOFT,3.0,75.275
VER,Red Bull Racing,36.0,0 days 00:01:15.221000,25.0,SOFT,3.0,75.221
VER,Red Bull Racing,37.0,0 days 00:01:15.167000,26.0,SOFT,3.0,75.167
VER,Red Bull Racing,38.0,0 days 00:01:15.071000,27.0,SOFT,3.0,75.071
VER,Red Bull Racing,39.0,0 days 00:01:15.193000,28.0,SOFT,3.0,75.193
VER,Red Bull Racing,40.0,0 days 00:01:15.132000,29.0,SOFT,3.0,75.132
VER,Red Bull Racing,41.0,0 days 00:01:15.306000,30.0,SOFT,3.0,75.306
VER,Red Bull Racing,42.0,0 days 00:01:15.333000,31.0,SOFT,3.0,75.333
VER,Red Bull Racing,43.0,0 days 00:01:15.366000,32.0,SOFT,3.0,75.366
VER,Red Bull Racing,44.0,0 days 00:01:15.593000,33.0,SOFT,3.0,75.593
VER,Red Bull Racing,45.0,0 days 00:01:15.559000,34.0,SOFT,3.0,75.559
VER,Red Bull Racing,46.0,0 days 00:01:15.510000,35.0,SOFT,3.0,75.51
VER,Red Bull Racing,47.0,0 days 00:01:15.575000,36.0,SOFT,3.0,75.575
VER,Red Bull Racing,48.0,0 days 00:01:15.408000,37.0,SOFT,3.0,75.408
VER,Red Bull Racing,49.0,0 days 00:01:18.531000,38.0,SOFT,3.0,78.531
VER,Red Bull Racing,51.0,0 days 00:01:13.941000,3.0,SOFT,4.0,73.941
VER,Red Bull Racing,52.0,0 days 00:01:14.282000,4.0,SOFT,4.0,74.282
VER,Red Bull Racing,53.0,0 days 00:01:14.272000,5.0,SOFT,4.0,74.272
VER,Red Bull Racing,54.0,0 days 00:01:14.256000,6.0,SOFT,4.0,74.256
VER,Red Bull Racing,55.0,0 days 00:01:14.415000,7.0,SOFT,4.0,74.415
VER,Red Bull Racing,56.0,0 days 00:01:14.410000,8.0,SOFT,4.0,74.41
VER,Red Bull Racing,57.0,0 days 00:01:14.096000,9.0,SOFT,4.0,74.096
VER,Red Bull Racing,58.0,0 days 00:01:13.889000,10.0,SOFT,4.0,73.889
VER,Red Bull Racing,59.0,0 days 00:01:13.943000,11.0,SOFT,4.0,73.943
VER,Red Bull Racing,60.0,0 days 00:01:14.502000,12.0,SOFT,4.0,74.502
VER,Red Bull Racing,68.0,0 days 00:01:22.867000,8.0,INTERMEDIATE,7.0,82.867
VER,Red Bull Racing,69.0,0 days 00:01:21.759000,9.0,INTERMEDIATE,7.0,81.759
VER,Red Bull Racing,70.0,0 days 00:01:20.865000,10.0,INTERMEDIATE,7.0,80.865
VER,Red Bull Racing,71.0,0 days 00:01:21.024000,11.0,INTERMEDIATE,7.0,81.024
VER,Red Bull Racing,72.0,0 days 00:01:20.915000,12.0,INTERMEDIATE,7.0,80.915
GAS,Alpine,13.0,0 days 00:01:17.151000,2.0,SOFT,3.0,77.151
GAS,Alpine,14.0,0 days 00:01:17.201000,3.0,SOFT,3.0,77.201
GAS,Alpine,15.0,0 days 00:01:16.987000,4.0,SOFT,3.0,76.987
GAS,Alpine,22.0,0 days 00:01:17.477000,11.0,SOFT,3.0,77.477
GAS,Alpine,23.0,0 days 00:01:16.854000,12.0,SOFT,3.0,76.854
GAS,Alpine,24.0,0 days 00:01:16.266000,13.0,SOFT,3.0,76.266
GAS,Alpine,25.0,0 days 00:01:16.377000,14.0,SOFT,3.0,76.377
GAS,Alpine,26.0,0 days 00:01:16.380000,15.0,SOFT,3.0,76.38
GAS,Alpine,27.0,0 days 00:01:16.388000,16.0,SOFT,3.0,76.388
GAS,Alpine,28.0,0 days 00:01:15.901000,17.0,SOFT,3.0,75.901
GAS,Alpine,29.0,0 days 00:01:16.087000,18.0,SOFT,3.0,76.087
GAS,Alpine,30.0,0 days 00:01:16.095000,19.0,SOFT,3.0,76.095
GAS,Alpine,31.0,0 days 00:01:16.068000,20.0,SOFT,3.0,76.068
GAS,Alpine,32.0,0 days 00:01:16.366000,21.0,SOFT,3.0,76.366
GAS,Alpine,33.0,0 days 00:01:15.972000,22.0,SOFT,3.0,75.972
GAS,Alpine,34.0,0 days 00:01:16.059000,23.0,SOFT,3.0,76.059
