Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,5.0,0 days 00:01:30.273000,8.0,MEDIUM,1.0,90.273
VER,Red Bull Racing,6.0,0 days 00:01:29.409000,9.0,MEDIUM,1.0,89.409
VER,Red Bull Racing,7.0,0 days 00:01:29.083000,10.0,MEDIUM,1.0,89.083
VER,Red Bull Racing,8.0,0 days 00:01:29.362000,11.0,MEDIUM,1.0,89.362
VER,Red Bull Racing,9.0,0 days 00:01:29.326000,12.0,MEDIUM,1.0,89.326
VER,Red Bull Racing,10.0,0 days 00:01:29.457000,13.0,MEDIUM,1.0,89.457
VER,Red Bull Racing,11.0,0 days 00:01:29.357000,14.0,MEDIUM,1.0,89.357
VER,Red Bull Racing,12.0,0 days 00:01:29.202000,15.0,MEDIUM,1.0,89.202
VER,Red Bull Racing,13.0,0 days 00:01:29.015000,16.0,MEDIUM,1.0,89.015
VER,Red Bull Racing,14.0,0 days 00:01:29.123000,17.0,MEDIUM,1.0,89.123
VER,Red Bull Racing,15.0,0 days 00:01:28.712000,18.0,MEDIUM,1.0,88.712
VER,Red Bull Racing,16.0,0 days 00:01:27.875000,19.0,MEDIUM,1.0,87.875
VER,Red Bull Racing,17.0,0 days 00:01:32.205000,20.0,MEDIUM,1.0,92.205
VER,Red Bull Racing,19.0,0 days 00:01:29.076000,5.0,MEDIUM,2.0,89.076
VER,Red Bull Racing,20.0,0 days 00:01:28.454000,6.0,MEDIUM,2.0,88.454
VER,Red Bull Racing,21.0,0 days 00:01:28.106000,7.0,MEDIUM,2.0,88.106
VER,Red Bull Racing,22.0,0 days 00:01:28.024000,8.0,MEDIUM,2.0,88.024
VER,Red Bull Racing,23.0,0 days 00:01:27.891000,9.0,MEDIUM,2.0,87.891
VER,Red Bull Racing,24.0,0 days 00:01:27.814000,10.0,MEDIUM,2.0,87.814
VER,Red Bull Racing,25.0,0 days 00:01:27.775000,11.0,MEDIUM,2.0,87.775
VER,Red Bull Racing,26.0,0 days 00:01:27.768000,12.0,MEDIUM,2.0,87.768
VER,Red Bull Racing,27.0,0 days 00:01:27.806000,13.0,MEDIUM,2.0,87.806
VER,Red Bull Racing,28.0,0 days 00:01:27.742000,14.0,MEDIUM,2.0,87.742
VER,Red Bull Racing,29.0,0 days 00:01:27.588000,15.0,MEDIUM,2.0,87.588
VER,Red Bull Racing,30.0,0 days 00:01:27.515000,16.0,MEDIUM,2.0,87.515
VER,Red Bull Racing,31.0,0 days 00:01:26.966000,17.0,MEDIUM,2.0,86.966
VER,Red Bull Racing,32.0,0 days 00:01:26.665000,18.0,MEDIUM,2.0,86.665
VER,Red Bull Racing,33.0,0 days 00:01:26.622000,19.0,MEDIUM,2.0,86.622
VER,Red Bull Racing,34.0,0 days 00:01:30.996000,20.0,MEDIUM,2.0,90.996
VER,Red Bull Racing,36.0,0 days 00:01:26.255000,2.0,HARD,3.0,86.255
VER,Red Bull Racing,37.0,0 days 00:01:26.081000,3.0,HARD,3.0,86.081
VER,Red Bull Racing,38.0,0 days 00:01:25.835000,4.0,HARD,3.0,85.835
VER,Red Bull Racing,39.0,0 days 00:01:25.815000,5.0,HARD,3.0,85.815
VER,Red Bull Racing,40.0,0 days 00:01:25.693000,6.0,HARD,3.0,85.693
VER,Red Bull Racing,41.0,0 days 00:01:25.861000,7.0,HARD,3.0,85.861
VER,Red Bull Racing,42.0,0 days 00:01:25.827000,8.0,HARD,3.0,85.827
VER,Red Bull Racing,43.0,0 days 00:01:25.880000,9.0,HARD,3.0,85.88
VER,Red Bull Racing,44.0,0 days 00:01:25.475000,10.0,HARD,3.0,85.475
VER,Red Bull Racing,45.0,0 days 00:01:25.621000,11.0,HARD,3.0,85.621
VER,Red Bull Racing,46.0,0 days 00:01:25.989000,12.0,HARD,3.0,85.989
VER,Red Bull Racing,47.0,0 days 00:01:25.969000,13.0,HARD,3.0,85.969
VER,Red Bull Racing,48.0,0 days 00:01:26.216000,14.0,HARD,3.0,86.216
VER,Red Bull Racing,49.0,0 days 00:01:25.977000,15.0,HARD,3.0,85.977
VER,Red Bull Racing,50.0,0 days 00:01:26.015000,16.0,HARD,3.0,86.015
