Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,2.0,0 days 00:01:37.680000,2.0,MEDIUM,1.0,97.68
VER,Red Bull Racing,3.0,0 days 00:01:36.526000,3.0,MEDIUM,1.0,96.526
VER,Red Bull Racing,4.0,0 days 00:01:36.503000,4.0,MEDIUM,1.0,96.503
VER,Red Bull Racing,5.0,0 days 00:01:35.359000,5.0,MEDIUM,1.0,95.359
VER,Red Bull Racing,6.0,0 days 00:01:35.840000,6.0,MEDIUM,1.0,95.84
VER,Red Bull Racing,7.0,0 days 00:01:35.687000,7.0,MEDIUM,1.0,95.687
VER,Red Bull Racing,8.0,0 days 00:01:35.129000,8.0,MEDIUM,1.0,95.129
VER,Red Bull Racing,9.0,0 days 00:01:35.561000,9.0,MEDIUM,1.0,95.561
VER,Red Bull Racing,10.0,0 days 00:01:35.443000,10.0,MEDIUM,1.0,95.443
VER,Red Bull Racing,11.0,0 days 00:01:35.306000,11.0,MEDIUM,1.0,95.306
VER,Red Bull Racing,12.0,0 days 00:01:34.848000,12.0,MEDIUM,1.0,94.848
VER,Red Bull Racing,13.0,0 days 00:01:35.183000,13.0,MEDIUM,1.0,95.183
VER,Red Bull Racing,14.0,0 days 00:01:34.200000,14.0,MEDIUM,1.0,94.2
VER,Red Bull Racing,15.0,0 days 00:01:34.499000,15.0,MEDIUM,1.0,94.499
VER,Red Bull Racing,16.0,0 days 00:01:34.443000,16.0,MEDIUM,1.0,94.443
VER,Red Bull Racing,17.0,0 days 00:01:33.790000,17.0,MEDIUM,1.0,93.79
VER,Red Bull Racing,21.0,0 days 00:01:36.946000,3.0,HARD,2.0,96.946
VER,Red Bull Racing,22.0,0 days 00:01:34.973000,4.0,HARD,2.0,94.973
VER,Red Bull Racing,23.0,0 days 00:01:34.115000,5.0,HARD,2.0,94.115
VER,Red Bull Racing,24.0,0 days 00:01:34.146000,6.0,HARD,2.0,94.146
VER,Red Bull Racing,25.0,0 days 00:01:32.933000,7.0,HARD,2.0,92.933
VER,Red Bull Racing,26.0,0 days 00:01:32.940000,8.0,HARD,2.0,92.94
VER,Red Bull Racing,27.0,0 days 00:01:32.838000,9.0,HARD,2.0,92.838
VER,Red Bull Racing,28.0,0 days 00:01:32.869000,10.0,HARD,2.0,92.869
VER,Red Bull Racing,29.0,0 days 00:01:32.670000,11.0,HARD,2.0,92.67
VER,Red Bull Racing,30.0,0 days 00:01:32.877000,12.0,HARD,2.0,92.877
VER,Red Bull Racing,31.0,0 days 00:01:32.382000,13.0,HARD,2.0,92.382
VER,Red Bull Racing,32.0,0 days 00:01:32.400000,14.0,HARD,2.0,92.4
VER,Red Bull Racing,33.0,0 days 00:01:32.387000,15.0,HARD,2.0,92.387
VER,Red Bull Racing,34.0,0 days 00:01:32.341000,16.0,HARD,2.0,92.341
VER,Red Bull Racing,35.0,0 days 00:01:32.249000,17.0,HARD,2.0,92.249
VER,Red Bull Racing,36.0,0 days 00:01:32.384000,18.0,HARD,2.0,92.384
VER,Red Bull Racing,37.0,0 days 00:01:32.496000,19.0,HARD,2.0,92.496
VER,Red Bull Racing,38.0,0 days 00:01:33.123000,20.0,HARD,2.0,93.123
VER,Red Bull Racing,39.0,0 days 00:01:32.432000,21.0,HARD,2.0,92.432
VER,Red Bull Racing,40.0,0 days 00:01:32.606000,22.0,HARD,2.0,92.606
VER,Red Bull Racing,41.0,0 days 00:01:32.638000,23.0,HARD,2.0,92.638
VER,Red Bull Racing,42.0,0 days 00:01:32.274000,24.0,HARD,2.0,92.274
VER,Red Bull Racing,43.0,0 days 00:01:32.343000,25.0,HARD,2.0,92.343
VER,Red Bull Racing,44.0,0 days 00:01:32.848000,26.0,HARD,2.0,92.848
VER,Red Bull Racing,45.0,0 days 00:01:32.968000,27.0,HARD,2.0,92.968
VER,Red Bull Racing,46.0,0 days 00:01:33.148000,28.0,HARD,2.0,93.148
VER,Red Bull Racing,47.0,0 days 00:01:33.238000,29.0,HARD,2.0,93.238
VER,Red Bull Racing,48.0,0 days 00:01:33.607000,30.0,HARD,2.0,93.607
VER,Red Bull Racing,49.0,0 days 00:01:33.835000,31.0,HARD,2.0,93.835
VER,Red Bull Racing,50.0,0 days 00:01:31.906000,32.0,HARD,2.0,91.906
GAS,Alpine,2.0,0 days 00:01:37.056000,2.0,MEDIUM,1.0,97.056
GAS,Alpine,3.0,0 days 00:01:36.044000,3.0,MEDIUM,1.0,96.044
GAS,Alpine,4.0,0 days 00:01:36.291000,4.0,MEDIUM,1.0,96.291
GAS,Alpine,5.0,0 days 00:01:35.973000,5.0,MEDIUM,1.0,95.973
GAS,Alpine,6.0,0 days 00:01:35.837000,6.0,MEDIUM,1.0,95.837
GAS,Alpine,7.0,0 days 00:01:37.137000,7.0,MEDIUM,1.0,97.137
GAS,Alpine,8.0,0 days 00:01:36.645000,8.0,MEDIUM,1.0,96.645
GAS,Alpine,9.0,0 days 00:01:36.549000,9.0,MEDIUM,1.0,96.549
GAS,Alpine,10.0,0 days 00:01:36.262000,10.0,MEDIUM,1.0,96.262
GAS,Alpine,11.0,0 days 00:01:36.022000,11.0,MEDIUM,1.0,96.022
GAS,Alpine,12.0,0 days 00:01:36.128000,12.0,MEDIUM,1.0,96.128
GAS,Alpine,13.0,0 days 00:01:36.170000,13.0,MEDIUM,1.0,96.17
GAS,Alpine,14.0,0 days 00:01:38.551000,14.0,MEDIUM,1.0,98.551
GAS,Alpine,16.0,0 days 00:01:35.536000,2.0,HARD,2.0,95.536
GAS,Alpine,21.0,0 days 00:01:38.374000,7.0,HARD,2.0,98.374
GAS,Alpine,22.0,0 days 00:01:36.576000,8.0,HARD,2.0,96.576
GAS,Alpine,23.0,0 days 00:01:35.918000,9.0,HARD,2.0,95.918
GAS,Alpine,24.0,0 days 00:01:35.322000,10.0,HARD,2.0,95.322
GAS,Alpine,25.0,0 days 00:01:35.270000,11.0,HARD,2.0,95.27
GAS,Alpine,26.0,0 days 00:01:35.105000,12.0,HARD,2.0,95.105
GAS,Alpine,27.0,0 days 00:01:35,13.0,HARD,2.0,95.0
GAS,Alpine,28.0,0 days 00:01:34.650000,14.0,HARD,2.0,94.65
GAS,Alpine,29.0,0 days 00:01:34.601000,15.0,HARD,2.0,94.601
GAS,Alpine,30.0,0 days 00:01:34.869000,16.0,HARD,2.0,94.869
GAS,Alpine,31.0,0 days 00:01:34.735000,17.0,HARD,2.0,94.735
GAS,Alpine,32.0,0 days 00:01:34.626000,18.0,HARD,2.0,94.626
GAS,Alpine,33.0,0 days 00:01:34.516000,19.0,HARD,2.0,94.516
GAS,Alpine,34.0,0 days 00:01:34.394000,20.0,HARD,2.0,94.394
GAS,Alpine,35.0,0 days 00:01:34.500000,21.0,HARD,2.0,94.5
GAS,Alpine,36.0,0 days 00:01:34.436000,22.0,HARD,2.0,94.436
GAS,Alpine,37.0,0 days 00:01:34.289000,23.0,HARD,2.0,94.289
GAS,Alpine,38.0,0 days 00:01:34.355000,24.0,HARD,2.0,94.355
GAS,Alpine,39.0,0 days 00:01:33.929000,25.0,HARD,2.0,93.929
GAS,Alpine,40.0,0 days 00:01:34.110000,26.0,HARD,2.0,94.11
GAS,Alpine,41.0,0 days 00:01:33.829000,27.0,HARD,2.0,93.829
GAS,Alpine,42.0,0 days 00:01:33.960000,28.0,HARD,2.0,93.96
GAS,Alpine,43.0,0 days 00:01:34.026000,29.0,HARD,2.0,94.026
GAS,Alpine,44.0,0 days 00:01:34.131000,30.0,HARD,2.0,94.131
GAS,Alpine,45.0,0 days 00:01:33.820000,31.0,HARD,2.0,93.82
GAS,Alpine,46.0,0 days 00:01:34.068000,32.0,HARD,2.0,94.068
