Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,2.0,0 days 00:01:41.596000,2.0,HARD,1.0,101.596
VER,Red Bull Racing,3.0,0 days 00:01:41.510000,3.0,HARD,1.0,101.51
VER,Red Bull Racing,4.0,0 days 00:01:41.143000,4.0,HARD,1.0,101.143
VER,Red Bull Racing,5.0,0 days 00:01:41.308000,5.0,HARD,1.0,101.308
VER,Red Bull Racing,6.0,0 days 00:01:41.313000,6.0,HARD,1.0,101.313
VER,Red Bull Racing,7.0,0 days 00:01:40.423000,7.0,HARD,1.0,100.423
VER,Red Bull Racing,8.0,0 days 00:01:40.177000,8.0,HARD,1.0,100.177
VER,Red Bull Racing,9.0,0 days 00:01:40.264000,9.0,HARD,1.0,100.264
VER,Red Bull Racing,10.0,0 days 00:01:40.408000,10.0,HARD,1.0,100.408
VER,Red Bull Racing,11.0,0 days 00:01:40.423000,11.0,HARD,1.0,100.423
VER,Red Bull Racing,12.0,0 days 00:01:40.602000,12.0,HARD,1.0,100.602
VER,Red Bull Racing,13.0,0 days 00:01:40.693000,13.0,HARD,1.0,100.693
VER,Red Bull Racing,14.0,0 days 00:01:40.633000,14.0,HARD,1.0,100.633
VER,Red Bull Racing,15.0,0 days 00:01:40.206000,15.0,HARD,1.0,100.206
VER,Red Bull Racing,16.0,0 days 00:01:40.390000,16.0,HARD,1.0,100.39
VER,Red Bull Racing,17.0,0 days 00:01:40.481000,17.0,HARD,1.0,100.481
VER,Red Bull Racing,18.0,0 days 00:01:40.464000,18.0,HARD,1.0,100.464
VER,Red Bull Racing,19.0,0 days 00:01:40.746000,19.0,HARD,1.0,100.746
VER,Red Bull Racing,23.0,0 days 00:01:43.346000,23.0,HARD,1.0,103.346
VER,Red Bull Racing,24.0,0 days 00:01:41.971000,24.0,HARD,1.0,101.971
VER,Red Bull Racing,25.0,0 days 00:01:40.700000,25.0,HARD,1.0,100.7
VER,Red Bull Racing,26.0,0 days 00:01:40.244000,26.0,HARD,1.0,100.244
VER,Red Bull Racing,27.0,0 days 00:01:41.180000,27.0,HARD,1.0,101.18
VER,Red Bull Racing,28.0,0 days 00:01:41.431000,28.0,HARD,1.0,101.431
VER,Red Bull Racing,29.0,0 days 00:01:40.437000,29.0,HARD,1.0,100.437
VER,Red Bull Racing,30.0,0 days 00:01:40.326000,30.0,HARD,1.0,100.326
VER,Red Bull Racing,31.0,0 days 00:01:40.247000,31.0,HARD,1.0,100.247
VER,Red Bull Racing,32.0,0 days 00:01:40.033000,32.0,HARD,1.0,100.033
VER,Red Bull Racing,33.0,0 days 00:01:40.087000,33.0,HARD,1.0,100.087
VER,Red Bull Racing,34.0,0 days 00:01:40.378000,34.0,HARD,1.0,100.378
VER,Red Bull Racing,35.0,0 days 00:01:40.266000,35.0,HARD,1.0,100.266
VER,Red Bull Racing,36.0,0 days 00:01:40.372000,36.0,HARD,1.0,100.372
VER,Red Bull Racing,37.0,0 days 00:01:40.224000,37.0,HARD,1.0,100.224
VER,Red Bull Racing,38.0,0 days 00:01:40.610000,38.0,HARD,1.0,100.61
VER,Red Bull Racing,39.0,0 days 00:01:41.173000,39.0,HARD,1.0,101.173
VER,Red Bull Racing,42.0,0 days 00:01:37.713000,2.0,MEDIUM,2.0,97.713
VER,Red Bull Racing,45.0,0 days 00:01:44.939000,5.0,MEDIUM,2.0,104.939
VER,Red Bull Racing,46.0,0 days 00:01:37.570000,6.0,MEDIUM,2.0,97.57
VER,Red Bull Racing,47.0,0 days 00:01:38.090000,7.0,MEDIUM,2.0,98.09
VER,Red Bull Racing,48.0,0 days 00:01:38.333000,8.0,MEDIUM,2.0,98.333
VER,Red Bull Racing,49.0,0 days 00:01:37.085000,9.0,MEDIUM,2.0,97.085
VER,Red Bull Racing,50.0,0 days 00:01:39.006000,10.0,MEDIUM,2.0,99.006
VER,Red Bull Racing,51.0,0 days 00:01:37.144000,11.0,MEDIUM,2.0,97.144
VER,Red Bull Racing,52.0,0 days 00:01:36.835000,12.0,MEDIUM,2.0,96.835
VER,Red Bull Racing,53.0,0 days 00:01:37.132000,13.0,MEDIUM,2.0,97.132
VER,Red Bull Racing,54.0,0 days 00:01:38.196000,14.0,MEDIUM,2.0,98.196
VER,Red Bull Racing,55.0,0 days 00:01:36.899000,15.0,MEDIUM,2.0,96.899
VER,Red Bull Racing,56.0,0 days 00:01:37.519000,16.0,MEDIUM,2.0,97.519
VER,Red Bull Racing,57.0,0 days 00:01:39.299000,17.0,MEDIUM,2.0,99.299
VER,Red Bull Racing,58.0,0 days 00:01:36.912000,18.0,MEDIUM,2.0,96.912
VER,Red Bull Racing,59.0,0 days 00:01:36.748000,19.0,MEDIUM,2.0,96.748
VER,Red Bull Racing,60.0,0 days 00:01:36.758000,20.0,MEDIUM,2.0,96.758
