Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:23.935000,1.0,MEDIUM,1.0,83.935
VER,Red Bull Racing,2.0,0 days 00:01:20.402000,2.0,MEDIUM,1.0,80.402
VER,Red Bull Racing,3.0,0 days 00:01:20.499000,3.0,MEDIUM,1.0,80.499
VER,Red Bull Racing,4.0,0 days 00:01:20.346000,4.0,MEDIUM,1.0,80.346
VER,Red Bull Racing,5.0,0 days 00:01:20.283000,5.0,MEDIUM,1.0,80.283
VER,Red Bull Racing,6.0,0 days 00:01:20.402000,6.0,MEDIUM,1.0,80.402
VER,Red Bull Racing,7.0,0 days 00:01:20.476000,7.0,MEDIUM,1.0,80.476
VER,Red Bull Racing,8.0,0 days 00:01:19.894000,8.0,MEDIUM,1.0,79.894
VER,Red Bull Racing,9.0,0 days 00:01:20.282000,9.0,MEDIUM,1.0,80.282
VER,Red Bull Racing,10.0,0 days 00:01:20.334000,10.0,MEDIUM,1.0,80.334
VER,Red Bull Racing,11.0,0 days 00:01:20.520000,11.0,MEDIUM,1.0,80.52
VER,Red Bull Racing,12.0,0 days 00:01:20.442000,12.0,MEDIUM,1.0,80.442
VER,Red Bull Racing,13.0,0 days 00:01:20.178000,13.0,MEDIUM,1.0,80.178
VER,Red Bull Racing,14.0,0 days 00:01:20.378000,14.0,MEDIUM,1.0,80.378
VER,Red Bull Racing,15.0,0 days 00:01:20.282000,15.0,MEDIUM,1.0,80.282
VER,Red Bull Racing,16.0,0 days 00:01:20.186000,16.0,MEDIUM,1.0,80.186
VER,Red Bull Racing,17.0,0 days 00:01:20.344000,17.0,MEDIUM,1.0,80.344
VER,Red Bull Racing,18.0,0 days 00:01:20.258000,18.0,MEDIUM,1.0,80.258
VER,Red Bull Racing,19.0,0 days 00:01:20.068000,19.0,MEDIUM,1.0,80.068
VER,Red Bull Racing,20.0,0 days 00:01:19.988000,20.0,MEDIUM,1.0,79.988
VER,Red Bull Racing,21.0,0 days 00:01:20.087000,21.0,MEDIUM,1.0,80.087
VER,Red Bull Racing,22.0,0 days 00:01:19.869000,22.0,MEDIUM,1.0,79.869
VER,Red Bull Racing,23.0,0 days 00:01:20.098000,23.0,MEDIUM,1.0,80.098
VER,Red Bull Racing,24.0,0 days 00:01:19.946000,24.0,MEDIUM,1.0,79.946
VER,Red Bull Racing,25.0,0 days 00:01:19.973000,25.0,MEDIUM,1.0,79.973
VER,Red Bull Racing,26.0,0 days 00:01:23.843000,26.0,MEDIUM,1.0,83.843
VER,Red Bull Racing,28.0,0 days 00:01:18.707000,2.0,HARD,2.0,78.707
VER,Red Bull Racing,29.0,0 days 00:01:18.860000,3.0,HARD,2.0,78.86
VER,Red Bull Racing,30.0,0 days 00:01:18.976000,4.0,HARD,2.0,78.976
VER,Red Bull Racing,31.0,0 days 00:01:19.165000,5.0,HARD,2.0,79.165
VER,Red Bull Racing,32.0,0 days 00:01:18.878000,6.0,HARD,2.0,78.878
VER,Red Bull Racing,33.0,0 days 00:01:19.189000,7.0,HARD,2.0,79.189
VER,Red Bull Racing,34.0,0 days 00:01:18.806000,8.0,HARD,2.0,78.806
VER,Red Bull Racing,35.0,0 days 00:01:18.890000,9.0,HARD,2.0,78.89
VER,Red Bull Racing,36.0,0 days 00:01:18.789000,10.0,HARD,2.0,78.789
VER,Red Bull Racing,37.0,0 days 00:01:19.026000,11.0,HARD,2.0,79.026
VER,Red Bull Racing,38.0,0 days 00:01:19.417000,12.0,HARD,2.0,79.417
VER,Red Bull Racing,39.0,0 days 00:01:19.322000,13.0,HARD,2.0,79.322
VER,Red Bull Racing,40.0,0 days 00:01:19.388000,14.0,HARD,2.0,79.388
VER,Red Bull Racing,41.0,0 days 00:01:19.530000,15.0,HARD,2.0,79.53
VER,Red Bull Racing,42.0,0 days 00:01:19.092000,16.0,HARD,2.0,79.092
VER,Red Bull Racing,43.0,0 days 00:01:18.912000,17.0,HARD,2.0,78.912
VER,Red Bull Racing,44.0,0 days 00:01:18.970000,18.0,HARD,2.0,78.97
VER,Red Bull Racing,45.0,0 days 00:01:19.104000,19.0,HARD,2.0,79.104
VER,Red Bull Racing,46.0,0 days 00:01:18.840000,20.0,HARD,2.0,78.84
VER,Red Bull Racing,47.0,0 days 00:01:19.109000,21.0,HARD,2.0,79.109
VER,Red Bull Racing,48.0,0 days 00:01:18.953000,22.0,HARD,2.0,78.953
VER,Red Bull Racing,49.0,0 days 00:01:19.093000,23.0,HARD,2.0,79.093
VER,Red Bull Racing,50.0,0 days 00:01:19.221000,24.0,HARD,2.0,79.221
VER,Red Bull Racing,51.0,0 days 00:01:18.768000,25.0,HARD,2.0,78.768
VER,Red Bull Racing,52.0,0 days 00:01:22.849000,26.0,HARD,2.0,82.849
VER,Red Bull Racing,54.0,0 days 00:01:17.473000,4.0,SOFT,3.0,77.473
VER,Red Bull Racing,55.0,0 days 00:01:17.766000,5.0,SOFT,3.0,77.766
VER,Red Bull Racing,56.0,0 days 00:01:17.183000,6.0,SOFT,3.0,77.183
VER,Red Bull Racing,57.0,0 days 00:01:17.306000,7.0,SOFT,3.0,77.306
VER,Red Bull Racing,58.0,0 days 00:01:17.502000,8.0,SOFT,3.0,77.502
VER,Red Bull Racing,59.0,0 days 00:01:17.761000,9.0,SOFT,3.0,77.761
