Driver,Team,LapNumber,LapTime,TyreLife,Compound,Stint,LapTimeSec
VER,Red Bull Racing,1.0,0 days 00:01:45.537000,1.0,MEDIUM,1.0,105.537
VER,Red Bull Racing,2.0,0 days 00:01:43.009000,2.0,MEDIUM,1.0,103.009
VER,Red Bull Racing,3.0,0 days 00:01:42.700000,3.0,MEDIUM,1.0,102.7
VER,Red Bull Racing,4.0,0 days 00:01:42.623000,4.0,MEDIUM,1.0,102.623
VER,Red Bull Racing,5.0,0 days 00:01:42.151000,5.0,MEDIUM,1.0,102.151
VER,Red Bull Racing,6.0,0 days 00:01:42.857000,6.0,MEDIUM,1.0,102.857
VER,Red Bull Racing,7.0,0 days 00:01:42.817000,7.0,MEDIUM,1.0,102.817
VER,Red Bull Racing,8.0,0 days 00:01:42.598000,8.0,MEDIUM,1.0,102.598
VER,Red Bull Racing,9.0,0 days 00:01:42.969000,9.0,MEDIUM,1.0,102.969
VER,Red Bull Racing,10.0,0 days 00:01:42.741000,10.0,MEDIUM,1.0,102.741
VER,Red Bull Racing,11.0,0 days 00:01:43.147000,11.0,MEDIUM,1.0,103.147
VER,Red Bull Racing,12.0,0 days 00:01:42.515000,12.0,MEDIUM,1.0,102.515
VER,Red Bull Racing,13.0,0 days 00:01:42.569000,13.0,MEDIUM,1.0,102.569
VER,Red Bull Racing,14.0,0 days 00:01:42.334000,14.0,MEDIUM,1.0,102.334
VER,Red Bull Racing,15.0,0 days 00:01:42.654000,15.0,MEDIUM,1.0,102.654
VER,Red Bull Racing,16.0,0 days 00:01:42.571000,16.0,MEDIUM,1.0,102.571
VER,Red Bull Racing,18.0,0 days 00:01:40.989000,2.0,MEDIUM,2.0,100.989
VER,Red Bull Racing,19.0,0 days 00:01:40.809000,3.0,MEDIUM,2.0,100.809
VER,Red Bull Racing,20.0,0 days 00:01:40.883000,4.0,MEDIUM,2.0,100.883
VER,Red Bull Racing,21.0,0 days 00:01:40.980000,5.0,MEDIUM,2.0,100.98
VER,Red Bull Racing,22.0,0 days 00:01:41.129000,6.0,MEDIUM,2.0,101.129
VER,Red Bull Racing,23.0,0 days 00:01:40.921000,7.0,MEDIUM,2.0,100.921
VER,Red Bull Racing,24.0,0 days 00:01:41.203000,8.0,MEDIUM,2.0,101.203
VER,Red Bull Racing,25.0,0 days 00:01:41.268000,9.0,MEDIUM,2.0,101.268
VER,Red Bull Racing,26.0,0 days 00:01:41.857000,10.0,MEDIUM,2.0,101.857
VER,Red Bull Racing,27.0,0 days 00:01:41.795000,11.0,MEDIUM,2.0,101.795
VER,Red Bull Racing,28.0,0 days 00:01:41.574000,12.0,MEDIUM,2.0,101.574
VER,Red Bull Racing,29.0,0 days 00:01:41.592000,13.0,MEDIUM,2.0,101.592
VER,Red Bull Racing,30.0,0 days 00:01:41.658000,14.0,MEDIUM,2.0,101.658
VER,Red Bull Racing,31.0,0 days 00:01:41.337000,15.0,MEDIUM,2.0,101.337
VER,Red Bull Racing,32.0,0 days 00:01:41.576000,16.0,MEDIUM,2.0,101.576
VER,Red Bull Racing,33.0,0 days 00:01:41.507000,17.0,MEDIUM,2.0,101.507
VER,Red Bull Racing,34.0,0 days 00:01:41.581000,18.0,MEDIUM,2.0,101.581
VER,Red Bull Racing,35.0,0 days 00:01:41.777000,19.0,MEDIUM,2.0,101.777
VER,Red Bull Racing,37.0,0 days 00:01:40.763000,2.0,HARD,3.0,100.763
VER,Red Bull Racing,38.0,0 days 00:01:40.439000,3.0,HARD,3.0,100.439
VER,Red Bull Racing,39.0,0 days 00:01:40.124000,4.0,HARD,3.0,100.124
VER,Red Bull Racing,40.0,0 days 00:01:40.028000,5.0,HARD,3.0,100.028
VER,Red Bull Racing,41.0,0 days 00:01:40.449000,6.0,HARD,3.0,100.449
VER,Red Bull Racing,42.0,0 days 00:01:40.349000,7.0,HARD,3.0,100.349
VER,Red Bull Racing,43.0,0 days 00:01:40.212000,8.0,HARD,3.0,100.212
VER,Red Bull Racing,44.0,0 days 00:01:40.770000,9.0,HARD,3.0,100.77
VER,Red Bull Racing,45.0,0 days 00:01:40.245000,10.0,HARD,3.0,100.245
VER,Red Bull Racing,46.0,0 days 00:01:40.588000,11.0,HARD,3.0,100.588
VER,Red Bull Racing,47.0,0 days 00:01:40.310000,12.0,HARD,3.0,100.31
VER,Red Bull Racing,48.0,0 days 00:01:40.329000,13.0,HARD,3.0,100.329
VER,Red Bull Racing,49.0,0 days 00:01:40.418000,14.0,HARD,3.0,100.418
VER,Red Bull Racing,50.0,0 days 00:01:40.209000,15.0,HARD,3.0,100.209
VER,Red Bull Racing,51.0,0 days 00:01:40.099000,16.0,HARD,3.0,100.099
VER,Red Bull Racing,52.0,0 days 00:01:40.335000,17.0,HARD,3.0,100.335
VER,Red Bull Racing,53.0,0 days 00:01:40.636000,18.0,HARD,3.0,100.636
VER,Red Bull Racing,54.0,0 days 00:01:40.629000,19.0,HARD,3.0,100.629
VER,Red Bull Racing,55.0,0 days 00:01:40.998000,20.0,HARD,3.0,100.998
VER,Red Bull Racing,56.0,0 days 00:01:40.337000,21.0,HARD,3.0,100.337
NOR,McLaren,1.0,0 days 00:01:41.712000,1.0,MEDIUM,1.0,101.712
NOR,McLaren,2.0,0 days 00:01:41.982000,2.0,MEDIUM,1.0,101.982
NOR,McLaren,3.0,0 days 00:01:42.280000,3.0,MEDIUM,1.0,102.28
NOR,McLaren,4.0,0 days 00:01:42.331000,4.0,MEDIUM,1.0,102.331
NOR,McLaren,5.0,0 days 00:01:42.244000,5.0,MEDIUM,1.0,102.244
NOR,McLaren,6.0,0 days 00:01:42.802000,6.0,MEDIUM,1.0,102.802
NOR,McLaren,7.0,0 days 00:01:42.742000,7.0,MEDIUM,1.0,102.742
NOR,McLaren,8.0,0 days 00:01:42.500000,8.0,MEDIUM,1.0,102.5
NOR,McLaren,9.0,0 days 00:01:42.667000,9.0,MEDIUM,1.0,102.667
NOR,McLaren,10.0,0 days 00:01:42.391000,10.0,MEDIUM,1.0,102.391
NOR,McLaren,11.0,0 days 00:01:42.426000,11.0,MEDIUM,1.0,102.426
NOR,McLaren,12.0,0 days 00:01:42.113000,12.0,MEDIUM,1.0,102.113
NOR,McLaren,13.0,0 days 00:01:43.071000,13.0,MEDIUM,1.0,103.071
NOR,McLaren,14.0,0 days 00:01:42.792000,14.0,MEDIUM,1.0,102.792
NOR,McLaren,15.0,0 days 00:01:42.557000,15.0,MEDIUM,1.0,102.557
NOR,McLaren,16.0,0 days 00:01:42.725000,16.0,MEDIUM,1.0,102.725
NOR,McLaren,17.0,0 days 00:01:42.594000,17.0,MEDIUM,1.0,102.594
NOR,McLaren,19.0,0 days 00:01:41.366000,2.0,HARD,2.0,101.366
NOR,McLaren,20.0,0 days 00:01:41.471000,3.0,HARD,2.0,101.471
NOR,McLaren,21.0,0 days 00:01:41.192000,4.0,HARD,2.0,101.192
NOR,McLaren,22.0,0 days 00:01:41.262000,5.0,HARD,2.0,101.262
NOR,McLaren,23.0,0 days 00:01:41.388000,6.0,HARD,2.0,101.388
NOR,McLaren,24.0,0 days 00:01:40.970000,7.0,HARD,2.0,100.97
NOR,McLaren,25.0,0 days 00:01:42.405000,8.0,HARD,2.0,102.405
NOR,McLaren,26.0,0 days 00:01:42.115000,9.0,HARD,2.0,102.115
NOR,McLaren,27.0,0 days 00:01:41.830000,10.0,HARD,2.0,101.83
NOR,McLaren,28.0,0 days 00:01:43.150000,11.0,HARD,2.0,103.15
